RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1989.266V,200 Portola Dr,Variance (VAR),7/9/1990,DCP:  APPR W/C,7/9/1990,Approved,,Approved
1989.270C,690 Panorama Dr,Conditional Use Authorization (CUA),7/13/1989,CPC:  APPR W/C:  11712,7/13/1989,Approved,11712,Approved
1989.272V,8 & 10 Museum Way,Variance (VAR),8/24/1989,DCP:  W/D,8/24/1989,Withdawn,,Withdawn
1989.275V,Santa Rosa Ave,Variance (VAR),5/15/1990,DCP:  APPR W/C,5/15/1990,Approved,,Approved
1989.277C,811 Valencia St,Conditional Use Authorization (CUA),8/31/1989,CPC:  DISAPPR:  11745,8/31/1989,Disapproved,11745,Disapproved
1989.278D,772-790 Rhode Island St,Discretionary Review - Mandatory (DRM),6/21/1990,CPC:  APPR W/C:  11963,6/21/1990,Approved,11963,Approved
1989.283C,2337-39 Mission St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11804,11/30/1989,Approved,11804,Approved
1989.285C,238 11th St+,Conditional Use Authorization (CUA),7/19/1990,CPC:  DISAPPR:  11985,7/19/1990,Disapproved,11985,Disapproved
1989.286C,735 Jackson St,Conditional Use Authorization (CUA),7/13/1989,CPC:  APPR W/C:  11708,7/13/1989,Approved,11708,Approved
1989.288C,601 Steiner St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11807,11/30/1989,Approved,11807,Approved
1989.288V,601 Steiner St,Variance (VAR),4/7/1995,DCP:  APPR,4/7/1995,Approved,,Approved
1989.300C,1251 2nd Ave,Conditional Use Authorization (CUA),8/17/1989,CPC:  APPR W/C:  11739,8/17/1989,Approved,11739,Approved
1989.301V,128 Montcalm St,Variance (VAR),7/27/1989,DCP:  CPC VOTED TO DISAPPR BPA#8902465,7/27/1989,Disapproved,,Disapproved
1989.303D,2526 43rd Ave,Discretionary Review - Mandatory (DRM),1/11/1990,CPC:  APPR W/C:  11842,1/11/1990,Approved,11842,Approved
1989.305D,2506 Leavenworth St,Discretionary Review - Mandatory (DRM),5/3/1990,CPC:  APPR W/C:  11932,5/3/1990,Approved,11932,Approved
1989.305V,2506 Leavenworth St,Variance (VAR),4/23/1990,DCP:  APPR,4/23/1990,Approved,,Approved
1989.307C,123 O'Farrell St,Conditional Use Authorization (CUA),5/2/1991,CPC:  APPR:  13079,5/2/1991,Approved,13079,Approved
1989.309V,3035 Pacific Ave,Variance (VAR),2/13/1990,DCP:  APPR W/C,2/13/1990,Approved,,Approved
1989.310A,1265 Battery St,Certificate of Appropriateness (COA),6/21/1989,CPC:  LPAB APPR,6/21/1989,Approved,,Approved
1989.311V,222 Filbert St+,Variance (VAR),2/23/1990,DCP:  APPR W/C,2/23/1990,Approved,,Approved
1989.317V,144 Scott St,Variance (VAR),2/16/1990,DCP:  APPR W/C,2/16/1990,Approved,,Approved
1989.319A,478 Green St,Certificate of Appropriateness (COA),7/19/1989,CPC:  APPR,7/19/1989,Approved,,Approved
1989.320V,99 Divisadero St,Variance (VAR),10/29/1991,DCP:  APPR W/C,10/29/1991,Approved,,Approved
1989.322C,900 Kearny St,Conditional Use Authorization (CUA),8/3/1989,CPC:  W/D,8/3/1989,Withdawn,,Withdawn
1989.331C,3139-41 Geary Bl,Conditional Use Authorization (CUA),9/14/1989,CPC:  APPR IN PART W/C:  11756,9/14/1989,Approved,11756,Approved
1989.333V,39 Seacliff Ave,Variance (VAR),11/17/1989,DCP:  APPR,11/17/1989,Approved,,Approved
1989.337C,2200 Chestnut St,Conditional Use Authorization (CUA),9/14/1989,CPC:  APPR W/C:  11755,9/14/1989,Approved,11755,Approved
1989.338V,290-294 Liberty St+,Variance (VAR),3/6/1990,DCP:  DISAPPR,3/6/1990,Disapproved,,Disapproved
1989.339C,1306 10th Ave,Conditional Use Authorization (CUA),10/12/1989,CPC:  W/D,10/12/1989,Withdawn,,Withdawn
1989.342A,756 Mission St,Certificate of Appropriateness (COA),7/5/1989,CPC:  LPAB APPR,7/5/1989,Approved,,Approved
1989.343C,3220 Fulton St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11805,11/30/1989,Approved,11805,Approved
1989.343V,3220 Fulton St,Variance (VAR),2/5/1990,DCP:  APPR W/C,2/5/1990,Approved,,Approved
1989.344V,400 Clayton St,Variance (VAR),8/7/1990,DCP:  APPR W/C,8/7/1990,Approved,,Approved
1989.346C,3192 16th St,Conditional Use Authorization (CUA),10/5/1989,CPC:  APPR IN PART:  11766,10/5/1989,Approved,11766,Approved
1989.347V,1843 Pine St,Variance (VAR),3/20/1990,DCP:  APPR,3/20/1990,Approved,,Approved
1989.350A,705 Scott St,Certificate of Appropriateness (COA),8/2/1989,CPC:  APPR,8/2/1989,Approved,,Approved
1989.352X,525 Market St,Downtown Exception-309 (DNX),9/1/1989,CPC:  APPROVED,9/1/1989,Approved,,Approved
1989.353D,555 43rd Ave,Discretionary Review - Mandatory (DRM),11/16/1989,CPC:  APPR W/C:  11794,11/16/1989,Approved,11794,Approved
1989.369C,3299-01 Mission St,Conditional Use Authorization (CUA),8/9/1990,CPC:  APPR W/C,8/9/1990,Approved,,Approved
1989.370V,670 & 678 Morse St+,Variance (VAR),6/12/1990,DCP:  APPR W/C,6/12/1990,Approved,,Approved
1989.371V,1546 Vallejo St+,Variance (VAR),6/29/1990,DCP:  APPR W/C,6/29/1990,Approved,,Approved
1989.372C,5199 Mission St,Conditional Use Authorization (CUA),3/14/1991,CPC:  APPR W/C:  13034,3/14/1991,Approved,13034,Approved
1989.374C,2164 Polk St,Conditional Use Authorization (CUA),8/31/1989,CPC:  APPR W/C:  11744,8/31/1989,Approved,11744,Approved
1989.377C,690 Chestnut St,Conditional Use Authorization (CUA),9/7/1989,CPC:  APPR W/C:  11749,9/7/1989,Approved,11749,Approved
1989.378C,3309 Fillmore St,Conditional Use Authorization (CUA),2/1/1990,CPC:  APPR W/C:  11835,2/1/1990,Approved,11835,Approved
1989.379V,25 Hidalgo Tr,Variance (VAR),2/26/1990,DCP:  APPR W/C,2/26/1990,Approved,,Approved
1989.389C,1201-99 Ocean Ave,Conditional Use Authorization (CUA),12/7/1989,CPC:  APPR W/C:  11815,12/7/1989,Approved,11815,Approved
1989.390C,928 Toland St,Conditional Use Authorization (CUA),9/14/1989,CPC:  APPR W/C:  11757,9/14/1989,Approved,11757,Approved
1989.393V,"20, 22-24 Coleridge St+",Variance (VAR),6/1/1990,DCP:  APPR W/C,6/1/1990,Approved,,Approved
1989.395D,770 23rd Ave,Discretionary Review - Mandatory (DRM),11/16/1989,CPC:  APPR W/C:  11795,11/16/1989,Approved,11795,Approved
1989.402D,770 Carolina St,Discretionary Review - Mandatory (DRM),5/17/1990,CPC:  APPR W/C:  11942,5/17/1990,Approved,11942,Approved
1989.403D,1219 19th St,Discretionary Review - Mandatory (DRM),2/1/1990,CPC:  APPR W/C:  11854,2/1/1990,Approved,11854,Approved
1989.409C_2,2408 California St,Conditional Use Authorization (CUA),10/12/1989,CPC:  APPR W/C:  11772,10/12/1989,Approved,11772,Approved
1989.414V,350-52 Hermann St+,Variance (VAR),6/22/1990,DCP:  APPR W/C,6/22/1990,Approved,,Approved
1989.419A,232 Montgomery St,Certificate of Appropriateness (COA),8/16/1989,CPC:  APPR,8/16/1989,Approved,,Approved
1989.421C,899-901 Kansas St,Conditional Use Authorization (CUA),10/26/1989,CPC:  APPR:  11779,10/26/1989,Approved,11779,Approved
1989.422C,2956 24th St,Conditional Use Authorization (CUA),10/5/1989,CPC:  APPR W/C:  11767,10/5/1989,Approved,11767,Approved
1989.425C,3583 16th St,Conditional Use Authorization (CUA),11/9/1989,CPC:  APPR W/C:  11791,11/9/1989,Approved,11791,Approved
1989.433D,53 St. Germain Ave,Discretionary Review - Mandatory (DRM),4/12/1990,CPC:  APPR W/C:  11913,4/12/1990,Approved,11913,Approved
1989.434D,37 St. Germain Ave,Discretionary Review - Mandatory (DRM),4/12/1990,CPC:  APPR W/C:  11912,4/12/1990,Approved,11912,Approved
1989.436C,3201 California St,Conditional Use Authorization (CUA),6/28/1990,CPC:  APPR W/C:  11973,6/28/1990,Approved,11973,Approved
1989.436C_2,3201 California St,Conditional Use Authorization (CUA),1/27/1994,CPC:  APPR W/C:  13633,1/27/1994,Approved,13633,Approved
1989.436V,3201 California St,Variance (VAR),7/30/1990,DCP:  APPR W/C,7/30/1990,Approved,,Approved
1989.436V_2,3201 California St,Variance (VAR),5/16/1994,DCP:  APPR W/C,5/16/1994,Approved,,Approved
1989.438P,1660 48th Ave,Costal Zone Permit (CTZ),11/2/1989,CPC:  APPR W/C:  11783,11/2/1989,Approved,11783,Approved
1989.439V,112 Terra Vista Ave,Variance (VAR),5/15/1990,DCP:  APPR W/C,5/15/1990,Approved,,Approved
1989.441V,4131 19th St,Variance (VAR),5/31/1990,DCP:  DISAPPR,5/31/1990,Disapproved,,Disapproved
1989.443V,309 Jersey St,Variance (VAR),3/6/1990,DCP:  APPR W/C,3/6/1990,Approved,,Approved
1989.445V,3885 Jackson St,Variance (VAR),4/10/1990,DCP:  DISAPPR,4/10/1990,Disapproved,,Disapproved
1989.447C,118 Sagamore St,Conditional Use Authorization (CUA),10/26/1989,CPC:  APPR W/C:  11778,10/26/1989,Approved,11778,Approved
1989.448V,185 Berry St,Variance (VAR),3/13/1990,DCP:  APPR W/C,3/13/1990,Approved,,Approved
1989.451D,2850 Union St,Discretionary Review - Mandatory (DRM),5/31/1990,CPC:  APPR W/C:  11948,5/31/1990,Approved,11948,Approved
1989.455X,34 Shannon St+,Downtown Exception-309 (DNX),7/19/1990,CPC:  APPR W/C:  11982,7/19/1990,Approved,11982,Approved
1989.458C,2 Richardson Ave,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11803,11/30/1989,Approved,11803,Approved
1989.459V,2 Mendosa Ave,Variance (VAR),1/5/1990,DCP:  W/D,1/5/1990,Withdawn,,Withdawn
1989.461V,525 5th St,Variance (VAR),2/18/1990,DCP:  W/D,2/18/1990,Withdawn,,Withdawn
1989.462A,456 Montgomery St,Certificate of Appropriateness (COA),9/6/1989,CPC:  LPAB APPR,9/6/1989,Approved,,Approved
1989.463C,443 Fulton St,Conditional Use Authorization (CUA),4/19/1990,CPC:  APPR W/C:  11922,4/19/1990,Approved,11922,Approved
1989.463V,443 Fulton St,Variance (VAR),5/14/1990,DCP:  APPR W/C,5/14/1990,Approved,,Approved
1989.464V,2300 Mason St,Variance (VAR),2/7/1989,DCP:  APPR W/C,2/7/1989,Approved,,Approved
1989.467V,24 Edith St,Variance (VAR),5/11/1990,DCP:  APPR W/C,5/11/1990,Approved,,Approved
1989.468C,2650 Fulton St,Conditional Use Authorization (CUA),2/1/1990,CPC:  APPR W/C:  11856,2/1/1990,Approved,11856,Approved
1989.472C,1227 Taraval St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11812,11/30/1989,Approved,11812,Approved
1989.473A,530 Chestnut St,Certificate of Appropriateness (COA),2/14/1991,CPC:  APPR W/C:  13020,2/14/1991,Approved,13020,Approved
1989.473C,530 Chestnut St,Conditional Use Authorization (CUA),2/14/1991,CPC:  APPR W/C:  13021,2/14/1991,Approved,13021,Approved
1989.475D,738 Duncan St,Discretionary Review - Mandatory (DRM),8/23/1990,CPC:  APPR W/C:  12002,8/23/1990,Approved,12002,Approved
1989.476V,36 Presidio Tr,Variance (VAR),6/5/1990,DCP:  APPR,6/5/1990,Approved,,Approved
1989.477C,2001 37th Ave,Conditional Use Authorization (CUA),9/13/1990,CPC:  APPR W/C:  12024,9/13/1990,Approved,12024,Approved
1989.478C,4625 Cabrillo St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11813,11/30/1989,Approved,11813,Approved
1989.490V,7000-02 Geary Bl,Variance (VAR),6/1/1992,DCP:  APPR W/C,6/1/1992,Approved,,Approved
1989.491A,709 Scott St,Certificate of Appropriateness (COA),11/15/1989,CPC:  APPR,11/15/1989,Approved,,Approved
1989.493C,401 Main St,Conditional Use Authorization (CUA),12/7/1989,CPC:  APPR W/C:  11818,12/7/1989,Approved,11818,Approved
1989.494C,3499 Sacramento St,Conditional Use Authorization (CUA),12/7/1989,CPC:  APPR W/C:  11816,12/7/1989,Approved,11816,Approved
1989.496D,1201 19th Ave,Discretionary Review - Mandatory (DRM),1/18/1990,CPC:  APPR W/C:  11846,1/18/1990,Approved,11846,Approved
1989.497A,1192 Market St,Certificate of Appropriateness (COA),5/2/1990,CPC:  APPR,5/2/1990,Approved,,Approved
1989.499V,408 Laurel St,Variance (VAR),6/13/1990,DCP:  APPR W/C,6/13/1990,Approved,,Approved
1989.502V,342-50 Hayes St,Variance (VAR),11/19/1990,DCP:  APPR,11/19/1990,Approved,,Approved
1989.503C,764-66 Stanyan St,Conditional Use Authorization (CUA),11/16/1989,CPC:  APPR W/C:  11799,11/16/1989,Approved,11799,Approved
1989.519V,158 Maynard St,Variance (VAR),6/19/1990,DCP:  APPR W/C,6/19/1990,Approved,,Approved
1989.520C,2095 19th Ave,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11993,7/26/1990,Approved,11993,Approved
1989.521C,890 Hayes St,Conditional Use Authorization (CUA),11/9/1989,CPC:  APPR W/C:  11792,11/9/1989,Approved,11792,Approved
1989.527C,1621 Irving St,Conditional Use Authorization (CUA),1/18/1990,CPC:  DISAPPR:  11847,1/18/1990,Disapproved,11847,Disapproved
1989.528C,300 Arkansas St,Conditional Use Authorization (CUA),4/11/1991,CPC:  APPR W/C:  13056,4/11/1991,Approved,13056,Approved
1989.532V,901 Santiago St,Variance (VAR),7/13/1990,DCP:  APPR W/C,7/13/1990,Approved,,Approved
1989.533V,3535 Clay St,Variance (VAR),6/22/1990,DCP:  APPR W/C,6/22/1990,Approved,,Approved
1989.534C,207 Skyline Bl,Conditional Use Authorization (CUA),11/2/1989,CPC:  APPR W/C:  11788,11/2/1989,Approved,11788,Approved
1989.534P,207 Skyline Bl,Costal Zone Permit (CTZ),11/2/1989,CPC:  APPR W/C,11/2/1989,Approved,,Approved
1989.536C,426 33rd Ave,Conditional Use Authorization (CUA),11/9/1989,CPC:  APPR W/C:  11789,11/9/1989,Approved,11789,Approved
1989.538V,190 Fairmount St,Variance (VAR),5/23/1990,DCP:  APPR W/C,5/23/1990,Approved,,Approved
1989.539V,2153 Northpoint St,Variance (VAR),5/11/1990,DCP:  APPR W/C,5/11/1990,Approved,,Approved
1989.540C,1402 Grant Ave,Conditional Use Authorization (CUA),11/2/1989,CPC:  APPR W/C:  11782,11/2/1989,Approved,11782,Approved
1989.544V,46 Woodland Av,Variance (VAR),11/21/1989,DCP:  APPR IN PART W/C,11/21/1989,Approved,,Approved
1989.553C,839 Woolsey St,Conditional Use Authorization (CUA),3/11/1991,CPC:  W/D,3/11/1991,Withdawn,,Withdawn
1989.554V,1439 Baker St,Variance (VAR),5/23/1990,DCP:  DISAPPR,5/23/1990,Disapproved,,Disapproved
1989.555C,535 Broadway+,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR:  11806,11/30/1989,Approved,11806,Approved
1989.557A,646-50 1st St,Certificate of Appropriateness (COA),1/9/1992,CPC:  APPR W/C:  13240,1/9/1992,Approved,13240,Approved
1989.558D,1164-66 Filbert St,Discretionary Review - Mandatory (DRM),2/8/1990,CPC:  APPR W/C:  11858,2/8/1990,Approved,11858,Approved
1989.561C,100 Masonic Ave,Conditional Use Authorization (CUA),1/18/1990,CPC:  APPR W/C:  11845,1/18/1990,Approved,11845,Approved
1989.562V,889 Vermont St,Variance (VAR),5/23/1990,DCP:  APPR W/C,5/23/1990,Approved,,Approved
1989.568C,835 Jackson St,Conditional Use Authorization (CUA),11/8/1990,CPC:  APPR W/C:  12069,11/8/1990,Approved,12069,Approved
1989.573C,650 Van Ness Ave,Conditional Use Authorization (CUA),5/2/1991,CPC:  APPR W/C:  13074,5/2/1991,Approved,13074,Approved
1989.574D,508-10 Roosevelt Way,Discretionary Review - Mandatory (DRM),3/29/1990,CPC:  APPR W/C:  11903,3/29/1990,Approved,11903,Approved
1989.578C,3452-56 Sacramento St,Conditional Use Authorization (CUA),12/14/1989,CPC:  APPR W/C:  11830,12/14/1989,Approved,11830,Approved
1989.580V,1834-50 Market St,Variance (VAR),5/11/1990,DCP:  DISAPPR,5/11/1990,Disapproved,,Disapproved
1989.584C,1438 Filbert St,Conditional Use Authorization (CUA),11/15/1990,CPC:  APPR W/C:  12075,11/15/1990,Approved,12075,Approved
1989.586C,2155 Mission St,Conditional Use Authorization (CUA),11/30/1989,CPC:  APPR W/C:  11808,11/30/1989,Approved,11808,Approved
1989.586V,2155 Mission St,Variance (VAR),12/11/1989,DCP:  APPR W/C,12/11/1989,Approved,,Approved
1989.588P,1444 La Playa,Costal Zone Permit (CTZ),6/21/1990,CPC:  APPR:  11966,6/21/1990,Approved,11966,Approved
1989.589B,300 & 342 Howard St,Office Allocation-321 (OFA),12/5/1991,CPC:  APPR W/C:  13218,12/5/1991,Approved,13218,Approved
1989.589B_2,300 & 342 Howard St,Office Allocation-321 (OFA),7/1/1998,DCP:  W/D,7/1/1998,Withdawn,,Withdawn
1989.589X,300 & 342 Howard St,Downtown Exception-309 (DNX),12/5/1991,CPC:  APPR W/C:  13217,12/5/1991,Approved,13217,Approved
1989.590V,865 Peralta Ave,Variance (VAR),10/24/1990,DCP:  APPR W/C,10/24/1990,Approved,,Approved
1989.595V,1226 30th Ave,Variance (VAR),6/5/1990,DCP:  DISAPPR,6/5/1990,Disapproved,,Disapproved
1989.596C,Fitzgerald Ave,Conditional Use Authorization (CUA),3/6/1992,CPC:  APPR W/C:  13307,3/6/1992,Approved,13307,Approved
1989.597V,943 Ashbury St,Variance (VAR),5/15/1990,DCP:  APPR,5/15/1990,Approved,,Approved
1989.598A,1060 Fulton St,Certificate of Appropriateness (COA),5/2/1990,CPC:  LPAB APPR,5/2/1990,Approved,,Approved
1989.598V,1060 Fulton St,Variance (VAR),10/29/1990,DCP:  APPR W/C,10/29/1990,Approved,,Approved
1989.601C,2399 Market St,Conditional Use Authorization (CUA),3/8/1990,CPC:  APPR W/C:  11889,3/8/1990,Approved,11889,Approved
1989.602C,840-42 Fell St,Conditional Use Authorization (CUA),1/25/1990,CPC:  W/D,1/25/1990,Withdawn,,Withdawn
1989.602V,840-42 Fell St,Variance (VAR),1/25/1990,DCP:  W/D,1/25/1990,Withdawn,,Withdawn
1989.604V,40 Orben Pl,Variance (VAR),7/13/1990,DCP:  DISAPPR,7/13/1990,Disapproved,,Disapproved
1989.606D,133 Cresta Vista Dr,Discretionary Review - Mandatory (DRM),1/4/1990,CPC:  APPR W/C:  11835,1/4/1990,Approved,11835,Approved
1989.607A,3416 21st St,Certificate of Appropriateness (COA),12/6/1989,CPC:  APPR,12/6/1989,Approved,,Approved
1989.610C,540 Arguello Bl,Conditional Use Authorization (CUA),1/11/1990,CPC:  APPR W/C:  11840,1/11/1990,Approved,11840,Approved
1989.610V,540 Arguello Bl,Variance (VAR),2/2/1990,DCP:  APPR W/C,2/2/1990,Approved,,Approved
1989.613V,20 Bonview St,Variance (VAR),7/12/1990,DCP:  APPR W/C,7/12/1990,Approved,,Approved
1989.616V,850 Lombard St,Variance (VAR),1/3/1991,DCP:  APPR W/C,1/3/1991,Approved,,Approved
1989.617V,500 Blanken Ave,Variance (VAR),9/14/1990,DCP:  APPR W/C,9/14/1990,Approved,,Approved
1989.619C,198 Valencia St,Conditional Use Authorization (CUA),7/26/1990,CPC:  W/D,7/26/1990,Withdawn,,Withdawn
1989.620V,1113 Castro Street,Variance (VAR),7/12/1990,DCP:  DISAPPR,7/12/1990,Disapproved,,Disapproved
1989.621D,20 Beaver St,Discretionary Review - Mandatory (DRM),5/31/1990,CPC:  APPR W/A:  11952,5/31/1990,Approved,11952,Approved
1989.623V,4128 23rd St,Variance (VAR),7/11/1990,DCP:  APPR W/C,7/11/1990,Approved,,Approved
1989.624V,6438 Fulton St,Variance (VAR),7/13/1990,DCP:  APPR,7/13/1990,Approved,,Approved
1989.625C,412 Valencia St,Conditional Use Authorization (CUA),1/25/1990,CPC:  APPR W/C:  11850,1/25/1990,Approved,11850,Approved
1989.629V,197 Coleridge St,Variance (VAR),8/29/1990,DCP:  APPR W/C,8/29/1990,Approved,,Approved
1989.630V,2218-20 15th St,Variance (VAR),8/3/1990,DCP:  APPR,8/3/1990,Approved,,Approved
1989.631D,31 Caselli Ave,Discretionary Review - Mandatory (DRM),3/8/1990,CPC:  APPR W/C:  11884,3/8/1990,Approved,11884,Approved
1989.632B,31-47+ 2nd St,Office Allocation-321 (OFA),9/19/1991,CPC:  WITHDRAWN,9/19/1991,Withdawn,,Withdawn
1989.632X,31-47+ 2nd St,Downtown Exception-309 (DNX),9/19/1991,CPC:  WITHDRAWN,9/19/1991,Withdawn,,Withdawn
1989.637C,Cora St,Conditional Use Authorization (CUA),2/21/1991,CPC:  APPR W/C:  13026,2/21/1991,Approved,13026,Approved
1989.638A,893 Wisconsin St,Certificate of Appropriateness (COA),1/3/1990,CPC:  APPR,1/3/1990,Approved,,Approved
1989.643C,733 Taraval St,Conditional Use Authorization (CUA),3/15/1990,CPC:  APPR W/C:  11895,3/15/1990,Approved,11895,Approved
1989.644V,1645 Waller St,Variance (VAR),4/30/1991,DCP:  APPR W/C,4/30/1991,Approved,,Approved
1989.645C,2216 Polk St,Conditional Use Authorization (CUA),2/22/1990,CPC:  APPR W/C:  11870,2/22/1990,Approved,11870,Approved
1989.650V,137 17th Ave,Variance (VAR),7/13/1990,DCP:  APPR,7/13/1990,Approved,,Approved
1989.657C,1901 Van Ness Ave,Conditional Use Authorization (CUA),7/19/1990,CPC:  APPR W/C:  11983,7/19/1990,Approved,11983,Approved
1989.658C,1160 Polk St,Conditional Use Authorization (CUA),7/26/1990,CPC:  APPR W/C:  11995,7/26/1990,Approved,11995,Approved
1989.658C_2,1160 Polk St,Conditional Use Authorization (CUA),3/1/1990,CPC:  APPR W/C:  11881,3/1/1990,Approved,11881,Approved
1989.659C,551 Polk St,Conditional Use Authorization (CUA),3/1/1990,CPC:  APPR W/C:  11880,3/1/1990,Approved,11880,Approved
1989.664A,827 Guerrero St,Certificate of Appropriateness (COA),1/3/1990,CPC:  APPR,1/3/1990,Approved,,Approved
1989.665C,438 Roosevelt Way,Conditional Use Authorization (CUA),1/17/1991,CPC:  DISAPPR:  12094,1/17/1991,Disapproved,12094,Disapproved
1989.668V,477-79 Collingwood St,Variance (VAR),7/8/1991,DCP:  APPR W/C,7/8/1991,Approved,,Approved
1989.670V,219-23 Page St,Variance (VAR),9/6/1990,DCP:  APPR W/C,9/6/1990,Approved,,Approved
1989.676V,1008 Bush St,Variance (VAR),10/18/1990,DCP:  W/D,10/18/1990,Withdawn,,Withdawn
1989.677C,590 Bush St,Conditional Use Authorization (CUA),3/8/1990,CPC:  APPR W/C:  11886,3/8/1990,Approved,11886,Approved
1989.678V,442 Fell St,Variance (VAR),8/7/1990,DCP:  APPR,8/7/1990,Approved,,Approved
1989.698V,890-92 Rhode Island St,Variance (VAR),2/27/1991,DCP:  DISAPPR,2/27/1991,Disapproved,,Disapproved
1989.699C,159 Sagamore St,Conditional Use Authorization (CUA),5/17/1990,CPC:  APPR W/C:  11940,5/17/1990,Approved,11940,Approved
1989.702C,1135-39 Green St,Conditional Use Authorization (CUA),10/4/1990,CPC:  DISAPPR:  12045,10/4/1990,Disapproved,12045,Disapproved
1989.703X,535-39 Mission St,Downtown Exception-309 (DNX),1/25/1990,CPC:  APPR ADMIN/CONSENT CALENDAR,1/25/1990,Approved,,Approved
1990.003D,650 40th Ave,Discretionary Review - Mandatory (DRM),5/17/1990,CPC:  APPR W/C:  11944,5/17/1990,Approved,11944,Approved
1990.009C,829 44th Ave,Conditional Use Authorization (CUA),11/8/1990,CPC:  APPR W/C:  12070,11/8/1990,Approved,12070,Approved
1990.010V,1466 10th Ave,Variance (VAR),7/8/1991,DCP:  APPR W/C,7/8/1991,Approved,,Approved
1990.014V,14 Clarendon Ave,Variance (VAR),8/7/1990,DCP:  APPR W/C,8/7/1990,Approved,,Approved
1990.017V,2174 Green St,Variance (VAR),10/24/1990,DCP:  DISAPPR,10/24/1990,Disapproved,,Disapproved
1990.018A,848 Battery St,Certificate of Appropriateness (COA),2/7/1990,CPC:  APPR,2/7/1990,Approved,,Approved
1990.022D,173 Twin Peaks Bl,Discretionary Review - Mandatory (DRM),11/15/1990,CPC:  APPR W/C:  12074,11/15/1990,Approved,12074,Approved
1990.022V,173 Twin Peaks Bl,Variance (VAR),11/15/1990,DCP:  W/D,11/15/1990,Withdawn,,Withdawn
1990.023D,169 Twin Peaks Bl,Discretionary Review - Mandatory (DRM),11/15/1990,CPC:  APPR W/C:  12073,11/15/1990,Approved,12073,Approved
1990.023V,169 Twin Peaks Bl,Variance (VAR),10/1/1991,DCP:  APPR,10/1/1991,Approved,,Approved
1990.023V_2,169 Twin Peaks Bl,Variance (VAR),11/15/1990,DCP:  W/D,11/15/1990,Withdawn,,Withdawn
1990.025V,809 Francisco St,Variance (VAR),8/14/1990,DCP:  APPR,8/14/1990,Approved,,Approved
1990.027C,4207 Judah St,Conditional Use Authorization (CUA),4/26/1990,CPC:  APPR W/C:  11929,4/26/1990,Approved,11929,Approved
1990.028V,2715 Scott St,Variance (VAR),8/14/1990,DCP:  APPR,8/14/1990,Approved,,Approved
1990.029C,2990 24th St,Conditional Use Authorization (CUA),4/12/1990,CPC:  APPR W/C:  11919,4/12/1990,Approved,11919,Approved
1990.030V,1055 Ashbury St,Variance (VAR),4/30/1991,DCP:  APPR W/C,4/30/1991,Approved,,Approved
1990.033C,2222 Broadway,Conditional Use Authorization (CUA),12/13/1990,CPC:  APPR W/C:  12088,12/13/1990,Approved,12088,Approved
1990.034V,1490 22nd Ave,Variance (VAR),9/21/1990,DCP:  APPR W/C,9/21/1990,Approved,,Approved
1990.035C,750 California St+,Conditional Use Authorization (CUA),4/25/1991,CPC:  APPR W/C:  13063,4/25/1991,Approved,13063,Approved
1990.035C_2,750 California St+,Conditional Use Authorization (CUA),7/7/1994,CPC:  APPR W/C:  13721,7/7/1994,Approved,13721,Approved
1990.036C,223-25 Arguello Bl,Conditional Use Authorization (CUA),2/20/1992,CPC:  APPR W/C:  13287,2/20/1992,Approved,13287,Approved
1990.037C,1301 San Jose Ave,Conditional Use Authorization (CUA),2/16/1995,CPC:  Approved:  13828,2/16/1995,Approved,13828,Approved
1990.038C,4833-37 Geary Bl,Conditional Use Authorization (CUA),7/11/1991,CPC:  DISAPPR:  13124,7/11/1991,Disapproved,13124,Disapproved
1990.039V,2661 Harrison St,Variance (VAR),10/22/1990,DCP:  APPR W/C,10/22/1990,Approved,,Approved
1990.041C,5440-54 Mission St,Conditional Use Authorization (CUA),5/23/1991,CPC:  APPR W/C:  13086,5/23/1991,Approved,13086,Approved
1990.042V,576-78 Noe St,Variance (VAR),8/29/1990,DCP:  APPR,8/29/1990,Approved,,Approved
1990.043V,2817 26th St,Variance (VAR),11/29/1990,DCP:  APPR W/C,11/29/1990,Approved,,Approved
1990.045C,525 O'Farrell St,Conditional Use Authorization (CUA),6/20/1991,CPC:  APPR W/C:  13111,6/20/1991,Approved,13111,Approved
1990.045V,525 O'Farrell St,Variance (VAR),7/10/1991,DCP:  APPR,7/10/1991,Approved,,Approved
1990.046D,731-35 Baker St,Discretionary Review - Mandatory (DRM),10/10/1991,CPC:  APPR W/C:  13188,10/10/1991,Approved,13188,Approved
1990.046V,731-35 Baker St,Variance (VAR),11/1/1991,DCP:  APPR,11/1/1991,Approved,,Approved
