RecordID,REVIEW_TYPE,closedate
2008.0783E,Categorical Exemption-Stamp,9/10/2008
2008.0791E,Categorical Exemption-Certificate,9/26/2008
2008.0792E,Categorical Exemption-Stamp,7/24/2008
2008.0794E,Categorical Exemption-Certificate,3/6/2009
2008.0795E,Categorical Exemption-Class 32,12/5/2008
2008.0796E,Categorical Exemption-Certificate,7/18/2008
2008.0797E,Initial Study-Negative Declaration,6/30/2010
2008.0801E,Initial Study-Negative Declaration,11/13/2012
2008.0810E,Categorical Exemption-Stamp,7/15/2008
2008.0811E,Categorical Exemption-Stamp,7/22/2008
2008.0812E,Categorical Exemption-Stamp,7/22/2008
2008.0845E,Initial Study-Negative Declaration,3/15/2012
2008.0858E,Categorical Exemption-Stamp,7/22/2008
2008.0864E,Categorical Exemption-Stamp,7/29/2008
2008.0865E,Categorical Exemption-Stamp,7/23/2008
2007.1272E_3,Categorical Exemption-Certificate,9/4/2008
2008.0558E,Categorical Exemption-Certificate,6/8/2009
2008.0869E,Categorical Exemption-Stamp,9/8/2008
2008.0870E,Categorical Exemption-Stamp,10/6/2009
2008.0872E,Categorical Exemption-Certificate,7/16/2009
2008.0873E,Categorical Exemption-Stamp,10/24/2008
2008.0874E,Categorical Exemption-Certificate,7/14/2009
2008.0901E,Categorical Exemption-Stamp,7/28/2008
2008.0905E,Categorical Exemption-Stamp,8/1/2008
2008.0907E,Categorical Exemption-Class 32,12/15/2009
2008.0910E,Categorical Exemption-Stamp,9/17/2008
2008.0924E,Categorical Exemption-Stamp,8/7/2008
2008.0927E,Categorical Exemption-Stamp,9/23/2008
2008.0658E,Categorical Exemption-Certificate,11/17/2008
2008.0880E,Categorical Exemption-Stamp,8/19/2008
2008.0953E,Categorical Exemption-Stamp,12/18/2008
2008.0954E,Categorical Exemption-Stamp,9/24/2008
2008.0970E,Categorical Exemption-Stamp,8/12/2008
2008.0979E,Categorical Exemption-Stamp,8/18/2008
2008.0983E,Categorical Exemption-Certificate,8/19/2008
2008.0984E,Categorical Exemption-Certificate,10/24/2008
2008.0985E,Categorical Exemption-Stamp,1/12/2009
2008.0986E,Categorical Exemption-Stamp,11/24/2008
2008.0975E,Categorical Exemption-Certificate,1/14/2009
2008.0989E,Categorical Exemption-Stamp,8/19/2008
2008.0992E,Initial Study-Negative Declaration,12/22/2008
2008.0994E,Categorical Exemption-Stamp,8/25/2008
2008.0995E,Categorical Exemption-Stamp,8/21/2008
2008.1000E,Categorical Exemption-Certificate,9/11/2008
2008.1027E,Categorical Exemption-Certificate,9/26/2008
2008.1029E,Categorical Exemption-Certificate,10/30/2008
2008.1031E,Categorical Exemption-Stamp,1/13/2009
2008.0980E,Categorical Exemption-Stamp,10/16/2008
2008.1046E,Categorical Exemption-Stamp,9/23/2008
2008.1047E,Categorical Exemption-Stamp,9/23/2008
2008.0434E,Categorical Exemption-Determination of Historic Resource,10/20/2008
2008.1050E,Categorical Exemption-Certificate,2/24/2010
2008.1051E,Categorical Exemption-Stamp,9/8/2008
2008.1052E,Categorical Exemption-Certificate,9/8/2008
2008.1053E,Categorical Exemption-Stamp,4/24/2009
2008.1055E,Categorical Exemption-Stamp,9/4/2008
2008.1057E,Categorical Exemption-Stamp,9/23/2008
2008.1062E,Categorical Exemption-Determination of Historic Resource,12/18/2008
2008.1063E,Categorical Exemption-Determination of Historic Resource,10/8/2008
2008.1064E,Categorical Exemption-Determination of Historic Resource,12/12/2008
2008.1065E,Categorical Exemption-Stamp,10/7/2008
2008.1066E,Categorical Exemption-Determination of Historic Resource,8/5/2009
2008.1067E,Categorical Exemption-Determination of Historic Resource,11/20/2008
2008.1068E,Categorical Exemption-Determination of Historic Resource,11/12/2008
2008.1075E,Initial Study-Negative Declaration,6/4/2010
2008.1087E,Categorical Exemption-Determination of Historic Resource,1/20/2009
2008.1088E,Categorical Exemption-Determination of Historic Resource,12/31/2008
2008.1089E,Categorical Exemption-Stamp,9/18/2008
2008.1090E,Categorical Exemption-Stamp,9/22/2008
2008.1091E,Categorical Exemption-Stamp,9/22/2008
2008.1092E,Categorical Exemption-Stamp,9/17/2008
2008.1096E,Categorical Exemption-Stamp,10/30/2008
2008.0788E,Categorical Exemption-Certificate,12/30/2008
2008.1108E,Categorical Exemption-Certificate,10/22/2008
2008.1109E,Categorical Exemption-Certificate,4/16/2009
2008.1103E,Categorical Exemption-Stamp,10/30/2008
2008.1122E,Initial Study-Negative Declaration,12/30/2009
2008.1110E_3,Initial Study-Negative Declaration,12/24/2008
2008.0185E,Categorical Exemption-Determination of Historic Resource,3/6/2009
2008.1148E,Categorical Exemption-Stamp,9/30/2008
2008.1151E,Categorical Exemption-Determination of Historic Resource,11/13/2008
2008.1153E,Categorical Exemption-Determination of Historic Resource Impact,11/8/2008
2008.0879E,Categorical Exemption-Stamp,10/1/2008
2008.1169E,Categorical Exemption-Determination of Historic Resource,12/10/2009
2008.1171E,Categorical Exemption-Certificate,6/11/2009
2008.1181E,Categorical Exemption-Stamp,10/15/2008
2008.1182E,Categorical Exemption-Certificate,12/10/2008
2008.1184E,Categorical Exemption-Stamp,10/15/2008
2008.1186E,Categorical Exemption-Stamp,10/22/2008
2008.1187E,Categorical Exemption-Determination of Historic Resource,1/28/2009
2008.1188E,Categorical Exemption-Determination of Historic Resource,12/31/2008
2008.1191E,Categorical Exemption-Determination of Historic Resource,5/27/2009
2008.1218E,Categorical Exemption-Determination of Historic Resource,3/2/2009
2008.1222E,Categorical Exemption-Stamp,10/27/2008
2008.1223E,Categorical Exemption-Determination of Historic Resource,6/23/2009
2008.1229E,Categorical Exemption-Determination of Historic Resource,11/13/2008
2008.1230E,Categorical Exemption-Determination of Historic Resource Impact,4/23/2009
2008.1231E,Categorical Exemption-Stamp,12/9/2008
2008.1232E,Categorical Exemption-Stamp,2/5/2009
2008.1234E,Community Plan-Determination,6/22/2010
2008.1072E,Categorical Exemption-Stamp,11/17/2008
2008.1179E,Categorical Exemption-Certificate,12/22/2008
2008.1267E,Categorical Exemption-Stamp,11/10/2008
2008.1268E,Categorical Exemption-Stamp,11/17/2008
2008.1269E,Categorical Exemption-Stamp,11/17/2008
2008.1270E,Categorical Exemption-Stamp,11/21/2008
2008.1273E,Categorical Exemption-Determination of Historic Resource Impact,1/8/2009
2008.1274E,Categorical Exemption-Determination of Historic Resource Impact,3/27/2009
2008.1301E,Categorical Exemption-Stamp,11/21/2008
2008.1303E,Categorical Exemption-Stamp,11/24/2008
2008.1307E,Categorical Exemption-Determination of Historic Resource,1/20/2009
2008.1308E,Categorical Exemption-Determination of Historic Resource,1/13/2009
2008.1315E,Categorical Exemption-Certificate,12/9/2008
2008.1324E,Categorical Exemption-Stamp,12/9/2008
2008.1325E,Categorical Exemption-Stamp,12/9/2008
2008.1326E,Categorical Exemption-Stamp,12/9/2008
2008.1328E_3,Community Plan-Exemption/Exclusion,7/16/2009
2008.1330E,Categorical Exemption-Stamp,1/27/2009
2008.1344E,Categorical Exemption-Stamp,12/5/2008
2008.1348E,Categorical Exemption-Determination of Historic Resource,1/15/2009
2008.1349E,Categorical Exemption-Determination of Historic Resource,3/19/2009
2008.1162E,Negative Declaration Addendum,9/2/2009
2008.1358E,Categorical Exemption-Stamp,12/23/2008
2008.1359E,Categorical Exemption-Stamp,12/11/2008
2008.1386E,Categorical Exemption-Certificate,12/24/2008
2008.1387E,Categorical Exemption-Stamp,1/13/2009
2008.1389E,Categorical Exemption-Determination of Historic Resource,7/22/2009
2008.1391E,Categorical Exemption-Determination of Historic Resource,2/10/2009
2008.1393E,Categorical Exemption-Certificate,12/23/2008
2008.1395E,Community Plan-Determination,1/27/2011
2008.0627E,Categorical Exemption-Determination of Historic Resource,2/4/2009
2008.1178E,Categorical Exemption-Stamp,1/8/2009
2008.1400E,Categorical Exemption-Determination of Historic Resource,2/11/2009
2008.1401E,Categorical Exemption-Certificate,3/30/2009
2008.0739E,Categorical Exemption-Certificate,1/29/2009
2009.0017E,Categorical Exemption-Certificate,1/12/2009
2009.0018E,Categorical Exemption-Determination of Historic Resource,3/1/2010
2009.0023E,Initial Study-Negative Declaration,4/9/2009
2009.0024E,Initial Study-Negative Declaration,4/29/2009
2007.0519E_3,Environmental Impact Report,10/28/2010
2009.0036E,Categorical Exemption-Determination of Historic Resource,9/14/2009
2008.1356E,Categorical Exemption-Certificate,2/6/2009
2009.0044E,Categorical Exemption-Stamp,1/22/2009
2009.0045E,Categorical Exemption-Stamp,1/26/2009
2009.0047E,Categorical Exemption-Stamp,1/20/2009
2009.0049E,Categorical Exemption-Determination of Historic Resource Impact,6/30/2010
2009.0050E,Categorical Exemption-Determination of Historic Resource,4/1/2009
2009.0051E,Categorical Exemption-Determination of Historic Resource,3/11/2009
2008.1379E,Categorical Exemption-Certificate,4/3/2009
2009.0067E,Categorical Exemption-Stamp,1/26/2009
2009.0069E,Categorical Exemption-Determination of Historic Resource,7/22/2009
2009.0078E,Categorical Exemption-Stamp,1/29/2009
2009.0089E,Categorical Exemption-Determination of Historic Resource,11/21/2011
2009.0092E,Categorical Exemption-Stamp,2/5/2009
2009.0093E,Categorical Exemption-Stamp,2/5/2009
2009.0094E,Categorical Exemption-Stamp,2/5/2009
2009.0103E,Categorical Exemption-Stamp,2/6/2009
2009.0105E,Categorical Exemption-Stamp,2/24/2009
2009.0111E,Categorical Exemption-Stamp,2/13/2009
2009.0112E,Initial Study-Negative Declaration,1/25/2010
2009.0115E,Categorical Exemption-Stamp,2/13/2009
2009.0119E,Categorical Exemption-Certificate,2/19/2009
2008.1289E,Categorical Exemption-Stamp,2/19/2009
2009.0124E,Categorical Exemption-Determination of Historic Resource Impact,7/17/2009
2009.0127E,Categorical Exemption-Determination of Historic Resource,4/29/2010
2008.0185E_3,Categorical Exemption-Determination of Historic Resource Impact,3/6/2009
2009.0129E,Categorical Exemption-Determination of Historic Resource,7/22/2009
2009.0130E,Categorical Exemption-Determination of Historic Resource,4/22/2009
2009.0132E,Categorical Exemption-Class 32,10/19/2009
2009.0133E,Categorical Exemption-Determination of Historic Resource,4/21/2009
2009.0134E,Initial Study-Negative Declaration,4/24/2009
2009.0057E,Categorical Exemption-Certificate,4/9/2009
2009.0168E,Categorical Exemption-Stamp,3/6/2009
2009.0169E,Categorical Exemption-Stamp,3/6/2009
2009.0173E,Categorical Exemption-Determination of Historic Resource,4/21/2010
2009.0174E,Categorical Exemption-Determination of Historic Resource,6/23/2009
2009.0175E,Categorical Exemption-Determination of Historic Resource,1/19/2011
2009.0178E,Categorical Exemption-Stamp,6/3/2009
2009.0185E,Categorical Exemption-Stamp,3/9/2009
2009.0179E,Categorical Exemption-Stamp,3/10/2009
2009.0180E,Community Plan-Determination,5/12/2010
2009.0193E,Categorical Exemption-Determination of Historic Resource,5/20/2009
2009.0194E,Categorical Exemption-Determination of Historic Resource,10/22/2010
2009.0195E,Categorical Exemption-Class 32,7/8/2009
2009.0196E,Categorical Exemption-Stamp,5/4/2009
2009.0200E,Categorical Exemption-Certificate,6/29/2009
2009.0201E,Categorical Exemption-Determination of Historic Resource Impact,7/9/2009
2008.1286E_3,Initial Study-Negative Declaration,6/24/2009
2009.0233E,Categorical Exemption-Determination of Historic Resource,8/5/2009
2009.0234E,Categorical Exemption-Determination of Historic Resource,8/11/2009
2009.0235E,Categorical Exemption-Determination of Historic Resource,8/11/2009
2009.0239E,Categorical Exemption-Stamp,3/26/2009
2009.0240E,Categorical Exemption-Stamp,10/15/2009
2009.0242E,Categorical Exemption-Stamp,3/27/2009
2009.0243E,Categorical Exemption-Stamp,7/23/2013
2009.0247E,Categorical Exemption-Stamp,3/29/2009
2005.0869E_5,Initial Study-Negative Declaration,4/14/2010
2007.0129E,Categorical Exemption-Determination of Historic Resource,4/17/2009
2009.0244E,Categorical Exemption-Stamp,4/2/2009
2009.0261E,Categorical Exemption-Stamp,4/2/2009
2009.0268E,Categorical Exemption-Stamp,4/2/2009
2009.0269E,Categorical Exemption-Stamp,4/2/2009
2009.0270E,Categorical Exemption-Stamp,4/2/2009
2009.0276E,Initial Study-Negative Declaration,2/23/2010
2009.0289E,Categorical Exemption-Stamp,4/9/2009
2009.0290E,Categorical Exemption-Certificate,4/9/2009
2009.0292E,Categorical Exemption-Certificate,9/16/2009
2009.0294E,Categorical Exemption-Stamp,4/21/2009
2009.0296E,Categorical Exemption-Determination of Historic Resource,8/19/2009
2009.0297E,Categorical Exemption-Determination of Historic Resource,7/22/2009
2009.0273E,Categorical Exemption-Stamp,4/14/2009
2009.0298E,Categorical Exemption-Determination of Historic Resource,10/30/2009
2009.0299E,Categorical Exemption-Determination of Historic Resource,5/19/2009
2009.0300E,Categorical Exemption-Stamp,4/14/2009
2009.0301E,Categorical Exemption-Stamp,4/14/2009
2009.0303E,Categorical Exemption-Stamp,4/14/2009
2009.0304E,Categorical Exemption-Determination of Historic Resource,10/15/2009
2009.0708E,Categorical Exemption-Stamp,4/16/2009
2009.0277E,Categorical Exemption-Stamp,4/20/2009
2009.0314E,Categorical Exemption-Stamp,4/20/2009
2009.0315E,Categorical Exemption-Determination of Historic Resource Impact,5/11/2009
2009.0316E,Categorical Exemption-Stamp,5/11/2009
2009.0307E,Categorical Exemption-Determination of Historic Resource,7/28/2009
2009.0058E,Categorical Exemption-Class 32,8/6/2009
2009.0323E,Categorical Exemption-Stamp,5/9/2009
2009.0288E,Categorical Exemption-Stamp,4/24/2009
2009.0312E,Categorical Exemption-Determination of Historic Resource,10/1/2009
2009.0324E,Categorical Exemption-Determination of Historic Resource,7/24/2009
2009.0272E,Categorical Exemption-Stamp,4/24/2009
2009.0335E,Initial Study-Negative Declaration,9/30/2009
2009.0054E,Categorical Exemption-Certificate,8/13/2009
2009.0581E,Categorical Exemption-Determination of Historic Resource,4/27/2009
2009.0227E,Categorical Exemption-Stamp,5/5/2009
2009.0317E,Categorical Exemption-Stamp,4/29/2009
2008.0968E_3,Environmental Impact Report,7/1/2011
2009.0338E,Categorical Exemption-Stamp,5/27/2009
2009.0359E,Categorical Exemption-Stamp,5/7/2009
2009.0360E,Categorical Exemption-Stamp,5/7/2009
2009.0364E,Categorical Exemption-Determination of Historic Resource,6/10/2009
2009.0365E,Categorical Exemption-Determination of Historic Resource,7/23/2009
2009.0366E,Categorical Exemption-Certificate,5/11/2009
2008.1223E_3,Categorical Exemption-Determination of Historic Resource Impact,6/23/2009
2009.0085E,Categorical Exemption-Class 32,4/8/2010
2009.0368E,Categorical Exemption-Determination of Historic Resource,10/26/2009
2009.0371E,Categorical Exemption-Stamp,5/15/2009
2009.0375E,Categorical Exemption-Stamp,5/13/2009
2009.0377E,Categorical Exemption-Stamp,5/14/2009
2009.0381E,Categorical Exemption-Stamp,5/14/2009
2009.0403E,Categorical Exemption-Stamp,6/1/2009
2007.0389E,Categorical Exemption-Determination of Historic Resource,4/1/2010
2009.0406E,Categorical Exemption-Stamp,5/21/2009
2009.0410E,Categorical Exemption-Stamp,5/27/2009
2009.0411E,Categorical Exemption-Certificate,9/16/2009
2009.0412E,Categorical Exemption-Class 32,12/10/2009
2009.0413E,Categorical Exemption-Stamp,5/21/2009
2009.0414E,Categorical Exemption-Stamp,5/21/2009
2009.0415E,Categorical Exemption-Stamp,6/11/2009
2009.0416E,Categorical Exemption-Stamp,5/26/2009
2009.0418E,Initial Study-Negative Declaration,12/23/2009
2009.0421E,Categorical Exemption-Stamp,5/26/2009
2009.0425E,Categorical Exemption-Stamp,5/27/2009
2009.0443E,Categorical Exemption-Certificate,3/11/2010
2009.0445E,Categorical Exemption-Stamp,6/10/2009
2009.0447E,Categorical Exemption-Determination of Historic Resource Impact,7/22/2009
2009.0448E,Categorical Exemption-Stamp,6/1/2009
2009.0450E,Categorical Exemption-Stamp,6/10/2009
2009.0456E,Categorical Exemption-Stamp,6/1/2009
2009.0378E,Categorical Exemption-Stamp,7/23/2009
2009.0457E,Initial Study-Negative Declaration,6/2/2010
2009.0484E,Categorical Exemption-Stamp,6/3/2009
2009.0485E,Categorical Exemption-Stamp,6/3/2009
2009.0474E,Categorical Exemption-Stamp,6/8/2009
2009.0475E,Categorical Exemption-Certificate,7/27/2009
2009.0486E,Categorical Exemption-Determination of Historic Resource,9/1/2009
2009.0488E,Categorical Exemption-Certificate,8/25/2009
2009.0482E,Categorical Exemption-Determination of Historic Resource,8/18/2009
2009.0487E,Categorical Exemption-Determination of Historic Resource,9/11/2009
2009.0512E,Categorical Exemption-Determination of Historic Resource,11/18/2009
2009.0514E,Categorical Exemption-Determination of Historic Resource Impact,8/11/2011
2009.0521E,Categorical Exemption-Determination of Historic Resource,6/18/2010
2009.0522E,Categorical Exemption-Determination of Historic Resource,12/10/2009
2009.0566E,Categorical Exemption-Stamp,6/15/2009
2009.0529E,Categorical Exemption-Certificate,10/1/2009
2009.0535E,Categorical Exemption-Determination of Historic Resource,10/16/2009
2009.0709E,Categorical Exemption-Stamp,6/18/2009
2009.0710E,Categorical Exemption-Stamp,6/18/2009
2009.0419E,Categorical Exemption-Determination of Historic Resource Impact,10/1/2009
2009.0560E,Categorical Exemption-Stamp,6/25/2009
2009.0563E,Categorical Exemption-Determination of Historic Resource,1/7/2010
2009.0524E,Categorical Exemption-Stamp,6/29/2009
2009.0567E,Categorical Exemption-Stamp,6/29/2009
2009.0233E_3,Categorical Exemption-Determination of Historic Resource Impact,8/5/2009
2009.0568E,Initial Study-Negative Declaration,10/28/2009
2009.0569E,Categorical Exemption-Determination of Historic Resource Impact,3/9/2010
2009.0582E,Categorical Exemption-Determination of Historic Resource,11/6/2009
2009.0583E,Categorical Exemption-Determination of Historic Resource,11/4/2009
2009.0603E,Categorical Exemption-Determination of Historic Resource,4/21/2010
2009.0604E,Categorical Exemption-Stamp,7/6/2009
2009.0610E,Community Plan-Determination,9/25/2009
2009.0623E,Categorical Exemption-Stamp,7/7/2009
2009.0616E,Categorical Exemption-Stamp,9/22/2009
2009.0618E,Categorical Exemption-Stamp,7/9/2009
2009.0621E,Categorical Exemption-Stamp,7/8/2009
2009.0624E,Categorical Exemption-Stamp,7/8/2009
2009.0625E,Categorical Exemption-Stamp,7/8/2009
2009.0626E,Categorical Exemption-Stamp,7/8/2009
2009.0627E,Categorical Exemption-Stamp,7/8/2009
2009.0628E,Categorical Exemption-Stamp,7/8/2009
2009.0473E,Categorical Exemption-Determination of Historic Resource Impact,10/5/2009
2009.0636E,Categorical Exemption-Stamp,7/13/2009
2009.0630E,Categorical Exemption-Stamp,8/3/2009
2009.0704E,Categorical Exemption-Stamp,7/15/2009
2009.0648E,Categorical Exemption-Stamp,7/19/2009
2009.0651E,Initial Study-Negative Declaration,11/17/2010
2009.0652E,Categorical Exemption-Determination of Historic Resource,8/18/2009
2009.0653E,Categorical Exemption-Stamp,9/2/2009
2009.0654E,Categorical Exemption-Determination of Historic Resource,8/12/2009
2009.0655E,Categorical Exemption-Stamp,9/14/2009
2009.0481E,Categorical Exemption-Determination of Historic Resource,10/5/2009
2009.0639E,Categorical Exemption-Certificate,9/18/2009
2009.0700E,Categorical Exemption-Stamp,7/22/2009
2009.0701E,Categorical Exemption-Stamp,7/22/2009
2009.0702E,Categorical Exemption-Stamp,7/22/2009
2009.0703E,Categorical Exemption-Stamp,7/22/2009
2009.0721E,Categorical Exemption-Stamp,7/31/2009
2009.0689E,Categorical Exemption-Stamp,7/23/2009
2009.0690E,Categorical Exemption-Stamp,7/23/2009
2009.0713E,Categorical Exemption-Stamp,7/24/2009
2009.0714E,Categorical Exemption-Stamp,7/24/2009
2009.0715E,Categorical Exemption-Stamp,7/24/2009
2009.0734E,Categorical Exemption-Stamp,7/24/2009
2009.0705E,Categorical Exemption-Certificate,8/10/2009
2008.1398E,Initial Study-Negative Declaration,1/15/2010
2009.0687E,Categorical Exemption-Stamp,7/31/2009
2009.0722E,Categorical Exemption-Stamp,2/8/2010
2009.0735E,Categorical Exemption-Stamp,8/3/2009
2009.0736E,Categorical Exemption-Stamp,8/3/2009
2009.0446E,Categorical Exemption-Certificate,11/2/2009
2009.0725E,Categorical Exemption-Stamp,8/20/2009
2009.0726E,Categorical Exemption-Determination of Historic Resource Impact,1/24/2012
2009.0777E,Categorical Exemption-Stamp,8/21/2009
2009.0724E,Categorical Exemption-Determination of Historic Resource,12/22/2009
2009.0755E,Categorical Exemption-Determination of Historic Resource,11/12/2009
2009.0756E,Categorical Exemption-Determination of Historic Resource,5/21/2010
2009.0757E,Categorical Exemption-Determination of Historic Resource,3/25/2010
2009.0696E,Categorical Exemption-Stamp,8/20/2009
2009.0766E,Categorical Exemption-Stamp,9/22/2009
2009.0767E,Categorical Exemption-Stamp,9/22/2009
2009.0768E,Categorical Exemption-Stamp,9/22/2009
2009.0769E,Categorical Exemption-Stamp,9/22/2009
2009.0747E,Categorical Exemption-Stamp,8/25/2009
2009.0783E,Categorical Exemption-Determination of Historic Resource,12/23/2009
2009.0794E,Categorical Exemption-Stamp,8/26/2009
2009.0797E,Categorical Exemption-Determination of Historic Resource,11/19/2009
2009.0801E,Categorical Exemption-Certificate,11/6/2009
2009.0806E,Categorical Exemption-Certificate,9/4/2009
2009.0810E,Categorical Exemption-Determination of Historic Resource,6/17/2010
2009.0812E,Categorical Exemption-Determination of Historic Resource,11/18/2009
2009.0814E,Categorical Exemption-Determination of Historic Resource,3/3/2010
2009.0815E,Categorical Exemption-Stamp,8/28/2009
2009.0816E,Initial Study-Negative Declaration,4/6/2011
2009.0838E,Categorical Exemption-Stamp,9/1/2009
2009.0839E,Categorical Exemption-Stamp,9/1/2009
2009.0840E,Categorical Exemption-Stamp,9/1/2009
2009.0841E,Categorical Exemption-Stamp,9/1/2009
2009.0826E,Categorical Exemption-Determination of Historic Resource,11/12/2009
2009.0827E,Categorical Exemption-Determination of Historic Resource Impact,6/10/2010
2009.0828E,Categorical Exemption-Determination of Historic Resource,1/28/2010
2009.0850E,Categorical Exemption-Stamp,9/8/2009
2008.0154E,Categorical Exemption-Stamp,8/16/2010
2009.0871E,Categorical Exemption-Determination of Historic Resource,5/3/2010
2009.0872E,Categorical Exemption-Determination of Historic Resource,12/10/2009
2009.0874E,Categorical Exemption-Certificate,2/11/2010
2009.0880E,Community Plan-Determination,12/8/2017
2009.0883E,Categorical Exemption-Stamp,9/21/2009
2009.0906E,Categorical Exemption-Determination of Historic Resource,2/18/2010
2009.0909E,Categorical Exemption-Determination of Historic Resource,1/7/2010
2009.0180E_3,Community Plan-Exemption/Exclusion,5/12/2010
2009.0915E,Categorical Exemption-Stamp,10/28/2009
2009.0916E,Categorical Exemption-Stamp,10/13/2009
2009.0977E,Categorical Exemption-Stamp,9/30/2009
2009.0965E,Categorical Exemption-Stamp,10/5/2009
2009.0967E,Categorical Exemption-Stamp,10/7/2009
2009.0964E,Categorical Exemption-Stamp,10/8/2009
2009.0968E,Categorical Exemption-Determination of Historic Resource,12/15/2009
2009.0973E,Categorical Exemption-Determination of Historic Resource,3/24/2010
2009.0979E,Categorical Exemption-Determination of Historic Resource,5/27/2010
2009.0980E,Categorical Exemption-Determination of Historic Resource,4/21/2010
2009.0999E,Categorical Exemption-Stamp,10/16/2009
2008.1234E_3,Community Plan-Initial Study/Environmental Evaluation,6/23/2010
2009.0655E_3,Categorical Exemption-Determination of Historic Resource Impact,2/24/2010
2009.0991E,Categorical Exemption-Stamp,10/20/2009
2009.0995E,Categorical Exemption-Certificate,12/3/2009
2009.0997E,Categorical Exemption-Certificate,4/12/2010
2009.1000E,Categorical Exemption-Stamp,10/28/2009
2009.1018E,Categorical Exemption-Stamp,10/28/2009
2009.1019E,Categorical Exemption-Determination of Historic Resource,2/25/2010
2009.1020E,Categorical Exemption-Determination of Historic Resource,1/5/2010
2009.1026E,Community Plan-Determination,5/18/2010
2009.1029E,Categorical Exemption-Certificate,1/13/2011
2009.1031E,Categorical Exemption-Stamp,11/6/2009
2009.1032E,Categorical Exemption-Stamp,11/15/2009
2009.1034E_2,Categorical Exemption-Stamp,11/5/2009
2009.1037E,Categorical Exemption-Stamp,11/5/2009
2009.0843E,Categorical Exemption-Certificate,11/6/2009
2009.1118E,Categorical Exemption-Stamp,11/5/2009
2009.1077E,Categorical Exemption-Stamp,11/9/2009
2009.1025E,Categorical Exemption-Certificate,12/21/2010
2009.1070E,Categorical Exemption-Determination of Historic Resource,3/23/2010
2009.1071E,Categorical Exemption-Determination of Historic Resource,2/2/2010
2009.1072E,Categorical Exemption-Stamp,11/23/2009
2009.1073E,Categorical Exemption-Stamp,11/23/2009
2009.1074E,Categorical Exemption-Certificate,1/27/2011
2009.1081E,Categorical Exemption-Stamp,11/19/2009
2009.1084E,Categorical Exemption-Stamp,12/3/2009
2009.1121E,Categorical Exemption-Stamp,11/20/2009
2009.1090E,Categorical Exemption-Determination of Historic Resource,5/27/2010
2009.1091E,Categorical Exemption-Determination of Historic Resource,1/27/2011
2009.1092E,Categorical Exemption-Determination of Historic Resource Impact,2/24/2010
2009.1094E,Categorical Exemption-Determination of Historic Resource,2/22/2010
2009.1096E,Categorical Exemption-Determination of Historic Resource,3/12/2010
2009.1098E,Categorical Exemption-Determination of Historic Resource,1/8/2010
2009.1100E,Categorical Exemption-Certificate,3/23/2010
2009.1103E,EIR Addendum,12/23/2009
2009.1007E,Categorical Exemption-Stamp,12/3/2009
2009.1115E,Categorical Exemption-Stamp,12/4/2009
2009.1119E,Categorical Exemption-Stamp,12/7/2009
2009.0418E_3,Environmental Impact Report,6/1/2011
2009.1134E,Categorical Exemption-Certificate,1/13/2010
2009.1135E,Categorical Exemption-Stamp,1/7/2010
2009.0870E,Categorical Exemption-Determination of Historic Resource,3/25/2010
2009.1143E,Categorical Exemption-Determination of Historic Resource,3/25/2010
2002.1129E_5,EIR Addendum,3/5/2010
2009.1153E,Initial Study-Negative Declaration,7/7/2011
2009.0065E,Initial Study-Negative Declaration,5/7/2014
2009.1157E,Categorical Exemption-Stamp,2/16/2010
2009.1158E,Categorical Exemption-Stamp,2/16/2010
2009.1159E,Categorical Exemption-Stamp,2/16/2010
2009.1160E,Categorical Exemption-Stamp,2/16/2010
2009.1161E,Categorical Exemption-Stamp,2/16/2010
2009.1162E,Categorical Exemption-Determination of Historic Resource,1/11/2011
2009.1163E,Community Plan-Determination,1/26/2011
2009.1172E,Categorical Exemption-Stamp,12/22/2009
2009.1095E,Community Plan-Determination,5/7/2010
2009.1169E,Categorical Exemption-Determination of Historic Resource Impact,3/29/2010
2009.1170E,Categorical Exemption-Determination of Historic Resource Impact,5/11/2010
2009.1171E,Categorical Exemption-Determination of Historic Resource,4/27/2010
2009.1120E,Categorical Exemption-Determination of Historic Resource,3/1/2010
2009.1174E,Categorical Exemption-Stamp,12/29/2009
2009.1176E,Categorical Exemption-Certificate,6/2/2010
2009.1177E,Categorical Exemption-Class 32,6/23/2010
2009.1178E,Categorical Exemption-Certificate,2/8/2010
2009.1181E,Categorical Exemption-Stamp,12/30/2009
2010.0005E,Categorical Exemption-Stamp,1/6/2010
2010.0008E,Categorical Exemption-Stamp,1/7/2010
2009.0235E_3,Categorical Exemption-Determination of Historic Resource Impact,1/21/2010
2010.0009E,Categorical Exemption-Determination of Historic Resource Impact,3/16/2011
2010.0010E,Categorical Exemption-Stamp,1/11/2010
2009.0154E_3,Categorical Exemption-Determination of Historic Resource Impact,3/18/2010
2010.0011E,Categorical Exemption-Stamp,2/16/2010
2010.0014E,Categorical Exemption-Determination of Historic Resource,5/11/2010
2010.0012E,Categorical Exemption-Certificate,4/21/2010
2010.0016E,Categorical Exemption-Certificate,2/2/2011
2010.0019E,Categorical Exemption-Certificate,3/25/2010
2010.0136E,Categorical Exemption-Stamp,1/14/2010
2005.0912E_3,Environmental Impact Report,12/15/2016
2007.1275E_3,Environmental Impact Report,3/9/2011
2009.0610E_3,Community Plan-Exemption/Exclusion,11/8/2010
