REC_NUM,EXPIRATION_DATE,EXPIRATION_STATUS,B1_PER_CATEGORY,APPLICATION_NAME,OPENED_DATE,RECORD_STATUS
2019-018173STR,1/31/2019,Pending,STR,981 Guerrero Street,8/2/2018,Under Review
2019-018175STR,1/31/2019,Pending,STR,625 Cole Street,9/16/2018,Under Review
2019-018176STR,1/31/2019,Pending,STR,11 College Terrace,9/6/2018,Accepted
2019-018178STR,1/31/2019,Pending,STR,251 laguna street,3/28/2018,Accepted
2019-018183STR,1/31/2019,Pending,STR,2415 Van Ness Avenue Unit 306,6/13/2018,Accepted
2019-018185STR,1/31/2019,Pending,STR,244 Andover Street,9/10/2018,Accepted
2019-018186STR,1/31/2019,Pending,STR,201 Harrison Street ,8/5/2018,Accepted
2019-018207STR,1/31/2019,Pending,STR,161 Dolores Street Unit 1,1/8/2019,Under Review
2019-018431STR,1/31/2019,Pending,STR,3863 19th Street,5/10/2019,Under Review
2019-018450STR,1/31/2019,Pending,STR,3043 Fillmore Street,2/21/2019,Under Review
2019-018510STR,1/31/2019,Pending,STR,681 Waller Street,3/3/2019,Under Review
2019-018516STR,1/31/2019,Pending,STR,300 Liberty Street Unit 3,4/21/2019,Under Review
2019-018517STR,1/31/2019,Pending,STR,4426 18th Street,9/5/2018,Under Review
2019-018524STR,1/31/2019,Pending,STR,223 29th Street Unit A,2/20/2019,Under Review
2019-023266STR,1/31/2019,Pending,STR,167 Hernandez Ave,11/23/2019,Accepted
2019-023267STR,1/31/2019,Pending,STR,59 Manchester Street,10/23/2019,Accepted
2019-019514STR,1/31/2019,Pending,STR,24 Bosworth Street,10/16/2019,Open
2019-019815STR,1/31/2019,Pending,STR,767 San Bruno Avenue,10/21/2019,Accepted
2019-017174STR,1/31/2019,Pending,STR,245 Edgehill Way,9/23/2019,Accepted
2019-020368STR,1/31/2019,Pending,STR,740 Bay Street,9/24/2019,Accepted
2019-020373STR,1/31/2019,Pending,STR,1512 25th Street,6/26/2019,Accepted
2019-020375STR,1/31/2019,Pending,STR,2511 22nd Ave,8/18/2019,Under Review
2019-020377STR,1/31/2019,Pending,STR,17 Bennington Street,6/15/2019,Accepted
2019-020380STR,1/31/2019,Pending,STR,389 Monterey Blvd,8/6/2019,Accepted
2019-020381STR,1/31/2019,Pending,STR,238 Chenery Street,6/17/2019,Under Review
2019-020386STR,1/31/2019,Pending,STR,2289 15th St,9/18/2019,Accepted
2019-020387STR,1/31/2019,Pending,STR,126 Ellert Street,4/17/2019,Accepted
2019-020388STR,1/31/2019,Pending,STR,1966 29th Ave,9/26/2019,Accepted
2019-020391STR,1/31/2019,Pending,STR,183 Lower Terrace ,9/19/2019,Accepted
2019-020395STR,1/31/2019,Pending,STR,167 Twin Peaks Blvd,6/12/2019,Accepted
2019-020396STR,1/31/2019,Pending,STR,1246 36th Avenue ,6/3/2019,Accepted
2019-020397STR,1/31/2019,Pending,STR,"600 S Van Ness Ave, 204",9/18/2019,Accepted
2019-021370STR,1/31/2019,Pending,STR,1486 Innes Avenue,11/15/2019,Open
2019-018326STR,1/31/2019,Pending,STR,2570 16th Avenue Room #3,1/17/2019,Under Review
19EST-000051,1/31/2019,Pending,STR,1483 Thomas Ave,9/12/2019,Open
2019-020401STR,1/31/2019,Pending,STR,46 Delano Avenue,7/2/2019,Accepted
2019-020402STR,1/31/2019,Pending,STR,148 Faith Street,7/16/2019,Accepted
2019-020480STR,1/31/2019,Pending,STR,51-4 Walter Street,9/13/2019,Accepted
2019-020481STR,1/31/2019,Pending,STR,"1171 Oak St, Apt 5",9/16/2019,Accepted
2019-020483STR,1/31/2019,Pending,STR,1464 Grove Street Unit 302,4/3/2019,Accepted
2019-020485STR,1/31/2019,Pending,STR,401 Madrid Street,9/16/2019,Accepted
2019-020487STR,1/31/2019,Pending,STR,630 Mason #603,8/7/2019,Accepted
2019-020489STR,1/31/2019,Pending,STR,602 CASTRO STREET,3/23/2019,Accepted
2019-020493STR,1/31/2019,Pending,STR,40 Northwood Drive,8/10/2019,Accepted
2019-020494STR,1/31/2019,Pending,STR,2175 California Street,3/20/2019,Accepted
2019-020495STR,1/31/2019,Pending,STR,331 Prentiss Street,9/27/2019,Accepted
2019-020498STR,1/31/2019,Pending,STR,"181 Crescent Ave., San Francisco",8/5/2019,Accepted
2019-020499STR,1/31/2019,Pending,STR,1280 Dolores Street,7/13/2019,Accepted
2019-020501STR,1/31/2019,Pending,STR,236 Urbano Dr,8/12/2019,Accepted
2019-020504STR,1/31/2019,Pending,STR,1349 Page Street,9/24/2019,Accepted
2019-020510STR,1/31/2019,Pending,STR,135 Knollview Way,9/20/2019,Accepted
2019-020512STR,1/31/2019,Pending,STR,246 Missouri Street,6/23/2019,Accepted
19EST-000053,1/31/2019,Pending,STR,940 Hampshire Street,9/12/2019,Open
2019-019263STR,1/31/2019,Pending,STR,400 Spear Street Unit 302,3/11/2019,Under Review
2019-019279STR,1/31/2019,Pending,STR,878 Haight Street,6/22/2019,Under Review
2019-019289STR,1/31/2019,Pending,STR,34 Kent Street,9/17/2018,Under Review
2019-023226STR,1/31/2019,Pending,STR,626 29th Street,12/4/2019,Accepted
2019-023227STR,1/31/2019,Pending,STR,"55 Dolores St, Apt 1",11/4/2019,Accepted
2019-023228STR,1/31/2019,Pending,STR,232 27th Street,10/23/2019,Accepted
2019-023229STR,1/31/2019,Pending,STR,643 Hampshire,11/21/2019,Accepted
2019-023230STR,1/31/2019,Pending,STR,180 Manchester St,10/16/2019,Accepted
2019-023232STR,1/31/2019,Pending,STR,2465 Pacific Avenue,10/19/2019,Accepted
2019-023236STR,1/31/2019,Pending,STR,"1702 Fell St , Apt 3",10/10/2019,Accepted
2019-023237STR,1/31/2019,Pending,STR,2667 18th Ave,11/30/2019,Accepted
2019-023241STR,1/31/2019,Pending,STR,566 46th Ave ,11/3/2019,Accepted
2019-023243STR,1/31/2019,Pending,STR,234 Corbett Ave,11/6/2019,Accepted
2019-023245STR,1/31/2019,Pending,STR,625 8th st apt 213,11/3/2019,Accepted
2019-023246STR,1/31/2019,Pending,STR,459 Teresita Blvd,11/9/2019,Accepted
2019-023247STR,1/31/2019,Pending,STR,"341 corbett ave, unit a",10/31/2019,Accepted
2019-023248STR,1/31/2019,Pending,STR,21 Paramount Terrace,11/28/2019,Under Review
2019-023250STR,1/31/2019,Pending,STR,11 Mizpah Street,11/13/2019,Accepted
2019-023251STR,1/31/2019,Pending,STR,70 Grand View Ave.,11/6/2019,Under Review
2019-023253STR,1/31/2019,Pending,STR,2422 25th ave,12/7/2019,Accepted
2019-023255STR,1/31/2019,Pending,STR,3695 MARKET STREET,10/31/2019,Accepted
2019-020890STR,1/31/2019,Pending,STR,4600 18th Street,11/5/2019,Under Review
2019-020899STR,1/31/2019,Pending,STR,279 Mallorca Way,11/6/2019,Accepted
2019-019313STR,1/31/2019,Pending,STR,101 Valencia Street,4/27/2019,Under Review
2019-019316STR,1/31/2019,Pending,STR,725 Shotwell Street,6/6/2019,Under Review
2019-022865STR,1/31/2019,Pending,STR,372 Cresta Vista Drive,12/12/2019,Open
2019-023258STR,1/31/2019,Pending,STR,30 Miguel Street,11/9/2019,Accepted
2019-023261STR,1/31/2019,Pending,STR,1622 INGALLS ST,10/27/2019,Accepted
2019-023264STR,1/31/2019,Pending,STR,2963 Mission Street,12/3/2019,Accepted
2019-023265STR,1/31/2019,Pending,STR,265 Laussat Street,10/20/2019,Accepted
2019-021671STR,1/31/2019,Pending,STR,64 Maddux Avenue,9/27/2019,Under Review
2019-021675STR,1/31/2019,Pending,STR,3863 19th Street,9/13/2019,Under Review
2019-021676STR,1/31/2019,Pending,STR,3863 19th Street,8/25/2019,Under Review
2019-021678STR,1/31/2019,Pending,STR,3863 19th Street,8/29/2019,Under Review
2019-019139STR,1/31/2019,Pending,STR,2326 Cecilia Avenue,1/29/2019,Under Review
2019-019144STR,1/31/2019,Pending,STR,1858 10th Avenue,1/8/2019,Under Review
2019-019157STR,1/31/2019,Pending,STR,2049 Oak Street Unit 4,11/25/2017,Under Review
2019-022480STR,1/31/2019,Pending,STR,55 9th Street Unit 606,12/4/2019,Open
2019-019209STR,1/31/2019,Pending,STR,1726 Lyon Street,9/15/2018,Under Review
2019-021856STR,1/31/2019,Pending,STR,1187 SOUTH VAN NESS AVE,11/20/2019,Pending Review
2019-019221STR,1/31/2019,Pending,STR,1503 McKinnon Avenue,6/12/2019,Under Review
2019-019228STR,1/31/2019,Pending,STR,1856 Franklin Street,5/18/2019,Under Review
2019-019234STR,1/31/2019,Pending,STR,39 Mill Street,2/3/2019,Under Review
2019-019235STR,1/31/2019,Pending,STR,225 Steiner Street Unit 26,4/30/2019,Under Review
2019-019238STR,1/31/2019,Pending,STR,3863 19th Street,5/7/2019,Under Review
2019-019241STR,1/31/2019,Pending,STR,126 Baker Street,5/15/2019,Under Review
2019-019245STR,1/31/2019,Pending,STR,1880 Turk Street,6/27/2018,Under Review
2019-019246STR,1/31/2019,Pending,STR,1028 Ashbury Street,2/9/2019,Accepted
2019-019249STR,1/31/2019,Pending,STR,2360 33rd Avenue,2/25/2019,Under Review
2019-019256STR,1/31/2019,Pending,STR,800 27th Avenue,11/8/2018,Under Review
2019-019258STR,1/31/2019,Pending,STR,2049 Oak Street Unit 3,11/25/2017,Under Review
2019-023030STR,1/31/2019,Pending,STR,1312 Taylor Street Unit A,12/16/2019,Accepted
2019-021538STR,1/31/2019,Pending,STR,100 Florentine St.,2/4/2018,Under Review
2019-021545STR,1/31/2019,Pending,STR,"210 BRODERICK STREET, UNIT 2",6/13/2018,Under Review
2019-020236STR,1/31/2019,Pending,STR,1550 Fell Street,8/2/2019,Accepted
2019-020239STR,1/31/2019,Pending,STR,199 Marina Boulevard,5/16/2019,Accepted
2019-020242STR,1/31/2019,Pending,STR,38 Ankeny Street,1/23/2019,Accepted
2019-020243STR,1/31/2019,Pending,STR,1798 Great Hwy #5,9/19/2019,Accepted
2019-020249STR,1/31/2019,Pending,STR,130 Filmore St,8/6/2019,Accepted
2019-020250STR,1/31/2019,Pending,STR,634 Laguna #B,9/6/2019,Accepted
2019-017697STR,1/31/2019,Pending,STR,253 Chattanooga Street,10/3/2019,Accepted
2019-017808STR,1/31/2019,Pending,STR,2817 24th Street Unit A,10/4/2019,Open
2019-021556STR,1/31/2019,Pending,STR,1588 Hudson Avenue Room 2,8/20/2019,Under Review
2019-021557STR,1/31/2019,Pending,STR,14 Santa Ynez Avenue,9/27/2019,Under Review
2019-021559STR,1/31/2019,Pending,STR,1178 Greenwich Street,8/8/2019,Under Review
2019-021560STR,1/31/2019,Pending,STR,1588 Hudson Avenue Room 5,8/19/2019,Under Review
2019-021561STR,1/31/2019,Pending,STR,1588 Hudson Avenue Room 4,8/19/2019,Under Review
2019-021564STR,1/31/2019,Pending,STR,451 Donahue Street Unit 307,8/5/2019,Under Review
2019-021569STR,1/31/2019,Pending,STR,2048 14th Avenue,8/23/2019,Under Review
2019-021572STR,1/31/2019,Pending,STR,320 Fair Oaks Street,8/27/2019,Under Review
2019-021578STR,1/31/2019,Pending,STR,336 Juanita Way,7/16/2019,Under Review
2019-021579STR,1/31/2019,Pending,STR,3375 21st Street Unit 4,8/10/2019,Under Review
2019-021641STR,1/31/2019,Pending,STR,3863 19th Street,9/17/2019,Under Review
2019-021658STR,1/31/2019,Pending,STR,601 Tennessee Street 101,8/21/2019,Under Review
2019-020303STR,1/31/2019,Pending,STR,708 Castro Street,4/11/2019,Accepted
2019-019135STR,1/31/2019,Pending,STR,130 Margaret Avenue,12/26/2018,Under Review
2019-022790STR,1/31/2019,Pending,STR,74 Aquavista Way,12/11/2019,Accepted
2019-020305STR,1/31/2019,Pending,STR,42 CLIPPER ST,8/1/2019,Accepted
2019-020310STR,1/31/2019,Pending,STR,2741 Clay Street #1,9/6/2019,Accepted
2019-020311STR,1/31/2019,Pending,STR,2271 Cecilia Ave,9/30/2019,Accepted
2019-020312STR,1/31/2019,Pending,STR,2531 Harrison Street,6/4/2019,Accepted
2019-020313STR,1/31/2019,Pending,STR,2442 45th Avenue,1/25/2019,Accepted
2019-020314STR,1/31/2019,Pending,STR,411 Vallejo Street,7/3/2019,Accepted
2019-020315STR,1/31/2019,Pending,STR,1112 De Haro Street,6/19/2019,Accepted
2019-020318STR,1/31/2019,Pending,STR,"2600 18th Street, Unit 21",9/5/2019,Accepted
2019-020319STR,1/31/2019,Pending,STR,17 Reed Street,7/14/2019,Accepted
2019-020506STR,1/31/2019,Pending,STR,1712 Castro Street,6/19/2019,Accepted
2019-020508STR,1/31/2019,Pending,STR,4444 20th Street,10/5/2019,Accepted
2019-020509STR,1/31/2019,Pending,STR,1392 La Playa Street,7/22/2019,Under Review
2019-021659STR,1/31/2019,Pending,STR,1406 Thomas Avenue,8/20/2019,Under Review
2019-021662STR,1/31/2019,Pending,STR,3863 19th Street,8/23/2019,Under Review
2019-021663STR,1/31/2019,Pending,STR,506 Ellsworth Street,8/12/2019,Under Review
2019-021665STR,1/31/2019,Pending,STR,55 Woodhaven Court,9/27/2019,Under Review
2019-021670STR,1/31/2019,Pending,STR,"1140 Sanchez Street, unit 3",7/21/2019,Under Review
2019-019081STR,1/31/2019,Pending,STR,103 Ellsworth Street,4/19/2019,Under Review
2019-021406STR,1/31/2019,Pending,STR,"1335 Union, apt 10",1/20/2018,Under Review
2019-021409STR,1/31/2019,Pending,STR,1949 Green Street #1,3/23/2018,Under Review
2019-021417STR,1/31/2019,Pending,STR,49 A Walter Street,1/10/2018,Under Review
2019-021421STR,1/31/2019,Pending,STR,168 Hyde st apt 401,1/19/2018,Under Review
2019-021422STR,1/31/2019,Pending,STR,4629 18th Street,6/6/2018,Under Review
2019-021423STR,1/31/2019,Pending,STR,28 Houston Unit C,3/4/2018,Under Review
2019-021431STR,1/31/2019,Pending,STR,1395 Golden Gate Ave. #107,3/9/2018,Under Review
2019-021447STR,1/31/2019,Pending,STR,261 Ellsworth Street,9/7/2018,Under Review
2019-020212STR,1/31/2019,Pending,STR,541 Duncan Street,6/24/2019,Accepted
2019-020215STR,1/31/2019,Pending,STR,665 Eddy St apt 36,9/4/2019,Accepted
2019-020219STR,1/31/2019,Pending,STR,1501 8th Ave Apt B,8/17/2019,Accepted
2019-020220STR,1/31/2019,Pending,STR,134 Rome Street,2/6/2019,Accepted
2019-020221STR,1/31/2019,Pending,STR,172 Portola Drive Unit 4,3/11/2019,Accepted
2019-020222STR,1/31/2019,Pending,STR,1588 Hudson Ave,8/2/2019,Accepted
2019-020223STR,1/31/2019,Pending,STR,485 Tehama Street Unit 3,7/21/2019,Accepted
2019-020224STR,1/31/2019,Pending,STR,198 Noe Street,2/8/2019,Accepted
2019-020225STR,1/31/2019,Pending,STR,758 Haight Street Unit 1 ,3/1/2019,Under Review
2019-020226STR,1/31/2019,Pending,STR,1414 Cole St,9/6/2019,Accepted
2019-020227STR,1/31/2019,Pending,STR,970 Wisconsin Street Unit 2,8/4/2019,Under Review
2019-020228STR,1/31/2019,Pending,STR,641 Chestnut Street ,8/15/2019,Accepted
2019-020229STR,1/31/2019,Pending,STR,758 chestnut,4/15/2019,Accepted
2019-020230STR,1/31/2019,Pending,STR,26 Samoset Street,4/25/2019,Accepted
2019-020234STR,1/31/2019,Pending,STR,2 Curtis St,9/20/2019,Accepted
2019-022315STR,1/31/2019,Pending,STR,15 COSO AVENUE,12/2/2019,Under Review
2019-017137STR,1/31/2019,Pending,STR,160 Wawona Street,9/20/2019,Open
2019-019083STR,1/31/2019,Pending,STR,3863 19th Street,4/24/2019,Under Review
2019-019095STR,1/31/2019,Pending,STR,1800 Octavia Street,4/23/2019,Under Review
2019-019104STR,1/31/2019,Pending,STR,67 Meadowbrook Drive,6/19/2018,Under Review
2019-019110STR,1/31/2019,Pending,STR,3230 16th Street Unit E,1/24/2019,Under Review
2019-019115STR,1/31/2019,Pending,STR,4338 Balboa Street,3/2/2019,Under Review
2019-021462STR,1/31/2019,Pending,STR,1565 madison st suite B,12/30/2017,Under Review
2019-021472STR,1/31/2019,Pending,STR,850 Steiner St.,1/12/2018,Under Review
2019-021475STR,1/31/2019,Pending,STR,620 Buchanan Street,6/8/2018,Under Review
2019-021480STR,1/31/2019,Pending,STR,42 Seward st,5/21/2018,Under Review
2019-021489STR,1/31/2019,Pending,STR,790 Naples St,1/4/2018,Under Review
2019-021597STR,1/31/2019,Pending,STR,1715 33rd Avenue,7/16/2019,Under Review
2019-021599STR,1/31/2019,Pending,STR,3863 19th Street Apartment B,8/26/2019,Under Review
2019-021606STR,1/31/2019,Pending,STR,3863 19th Street,8/31/2019,Under Review
2019-021607STR,1/31/2019,Pending,STR,1588 Hudson Avenue,9/20/2019,Under Review
2019-021608STR,1/31/2019,Pending,STR,1966 29th Avenue,9/27/2019,Under Review
2019-021613STR,1/31/2019,Pending,STR,586 Sanchez Street,7/20/2019,Under Review
2019-021616STR,1/31/2019,Pending,STR,1044 Stanyan Street Apt 2,7/25/2019,Under Review
2019-021619STR,1/31/2019,Pending,STR,3905 California Street Unit 2,7/19/2019,Under Review
2019-021620STR,1/31/2019,Pending,STR,214 Ellsworth Street,8/23/2019,Under Review
2019-021622STR,1/31/2019,Pending,STR,1339 47th Avenue,9/20/2019,Under Review
2019-021623STR,1/31/2019,Pending,STR,1588 Hudson Avenue Room 3,8/19/2019,Under Review
2019-021624STR,1/31/2019,Pending,STR,101 San Ramon Way,9/14/2019,Under Review
2019-021626STR,1/31/2019,Pending,STR,2266 Union Street Suite 3,8/9/2019,Under Review
2019-021627STR,1/31/2019,Pending,STR,16 Fairmount Street,8/27/2019,Under Review
2019-021630STR,1/31/2019,Pending,STR,925 Corbett Avenue APT 201,7/7/2019,Under Review
2019-021633STR,1/31/2019,Pending,STR,3863 19th Street,9/3/2019,Under Review
2019-021636STR,1/31/2019,Pending,STR,1523 Treat Avenue,8/23/2019,Under Review
2019-021637STR,1/31/2019,Pending,STR,940 Cayuga Avenue,8/17/2019,Under Review
2019-021656STR,1/31/2019,Pending,STR,1478 6th Avenue,8/10/2019,Under Review
2019-022772STR,1/31/2019,Pending,STR,1119 Girard Street,12/11/2019,Open
2019-018700STR,1/31/2019,Pending,STR,936 Divisadero Street,6/2/2019,Under Review
2019-018715STR,1/31/2019,Pending,STR,1147 Shrader Street,8/15/2018,Under Review
2019-019011STR,1/31/2019,Pending,STR,2447 Vallejo Street Unit 4,1/29/2019,Under Review
2019-021322STR,1/31/2019,Pending,STR,101 Lunado Way,11/14/2019,Under Review
2019-021397STR,1/31/2019,Pending,STR,2415 Van Ness Ave. #306,3/24/2018,Under Review
2019-019050STR,1/31/2019,Pending,STR,1300 22nd Street Unit 200,1/11/2019,Under Review
2019-019058STR,1/31/2019,Pending,STR,3727 17th Street,1/23/2019,Under Review
2019-005978STR,1/31/2019,Pending,STR,1548 GROVE ST,4/29/2019,Accepted
2019-017479STR,1/31/2019,Pending,STR,53 Albion Street,9/27/2019,Accepted
2019-019873STR,1/31/2019,Pending,STR,142 Guerrero,10/22/2019,Open
2019-021387STR,1/31/2019,Pending,STR,21 Lapidge Street 1,7/12/2019,Under Review
2019-021643STR,1/31/2019,Pending,STR,316 Edinburgh Street,8/6/2019,Under Review
2019-021644STR,1/31/2019,Pending,STR,68 Vienna Street,8/19/2019,Under Review
2019-021645STR,1/31/2019,Pending,STR,2091 Bancroft Avenue,7/24/2019,Under Review
2019-021646STR,1/31/2019,Pending,STR,46 Lapidge Street,8/22/2019,Under Review
2019-021653STR,1/31/2019,Pending,STR,594 Corbett Avenue,7/21/2019,Under Review
2019-021654STR,1/31/2019,Pending,STR,1400 Montgomery Street,8/14/2019,Under Review
2019-021655STR,1/31/2019,Pending,STR,3863 19th Street,9/1/2019,Under Review
2019-019900STR,1/31/2019,Pending,STR,2768 Harrison Street (full app payment still outstanding),10/22/2019,Open
2019-021496STR,1/31/2019,Pending,STR,2022 Beach Street,5/29/2018,Under Review
2019-021497STR,1/31/2019,Pending,STR,212 Fair Oaks Street APT A,1/15/2018,Under Review
2019-021507STR,1/31/2019,Pending,STR,"88 Guy Place, APT 206",2/23/2018,Under Review
2019-021512STR,1/31/2019,Pending,STR,538-540 Natoma Street,1/6/2018,Under Review
2019-021516STR,1/31/2019,Pending,STR,3743 B 20th ST ,1/16/2018,Under Review
2019-021522STR,1/31/2019,Pending,STR,142 Guerrero Street,1/17/2018,Under Review
2019-021524STR,1/31/2019,Pending,STR,"1900 Eddy Street, 18",6/8/2018,Under Review
2019-021547STR,1/31/2019,Pending,STR,817 Oak Street,3/27/2018,Under Review
2019-017552STR,1/31/2019,Pending,STR,325 Wayland Street,10/1/2019,Open
2019-020893STR,1/31/2019,Pending,STR,1730 Broderick Street Unit 9,11/5/2019,Open
2019-021584STR,1/31/2019,Pending,STR,3863 19th Street,9/13/2019,Under Review
2019-021585STR,1/31/2019,Pending,STR,334 Harriet Street,9/29/2019,Under Review
2019-021587STR,1/31/2019,Pending,STR,3863 19th Street,9/2/2019,Under Review
2019-021589STR,1/31/2019,Pending,STR,2140 Bush Street 2B,9/28/2019,Under Review
2019-006349STR,1/31/2019,Pending,STR,591 Wildwood Way (2nd Application),5/6/2019,Open
2019-005340STR,1/31/2019,Pending,STR,21 Liberty Street,4/17/2019,Under Review
2019-015520STR,1/31/2019,Pending,STR,146 Capra Way,8/19/2019,Open
2019-016207STR,1/31/2019,Pending,STR,57 Vesta Street,9/3/2019,Open
2019-005941STR,1/31/2019,Pending,STR,355 Lansdale Avenue,4/29/2019,Open
2019-013495STR,1/31/2019,Pending,STR,1545 47th Avenue,7/2/2019,Accepted
2019-005691STR,1/31/2019,Pending,STR,448 Pennsylvania Avenue,4/22/2019,Accepted
2019-014266STR,1/31/2019,Pending,STR,142 Newman Street,7/22/2019,Accepted
2019-015537STR,1/31/2019,Pending,STR,560 Haight Street Unit 106,8/19/2019,Open
2019-005839STR,1/31/2019,Pending,STR,2256 Market Street Unit C,4/24/2019,Open
2019-012609STR,1/31/2019,Pending,STR,442 23rd Avenue Unit 4,6/13/2019,Open
19EST-000039,1/31/2019,Pending,STR,,7/5/2019,Open
2019-014052STR,1/31/2019,Pending,STR,230 Upland Drive,7/17/2019,Accepted
2019-005420STR,1/31/2019,Pending,STR,2926 Laguna Street,4/18/2019,Under Review
2019-011919STR,1/31/2019,Pending,STR,481 27th Street,5/29/2019,Submitted
2019-006811STR,1/31/2019,Pending,STR,70 Manor Drive,5/14/2019,Open
2019-004992STR,1/31/2019,Pending,STR,56 LENOX WAY,4/10/2019,Accepted
2019-004536STR,1/31/2019,Pending,STR,579 Burnett Avenue Unit 4,4/1/2019,Open
2019-005060STR,1/31/2019,Pending,STR,2965 19th Avenue,4/10/2019,Open
2019-005075STR,1/31/2019,Pending,STR,211 Genebern Way,4/11/2019,Open
2019-005099STR,1/31/2019,Pending,STR,2922 25th Avenue,4/11/2019,Accepted
2019-005120STR,1/31/2019,Pending,STR,340 Crestlake Drive,4/11/2019,Open
2019-004991STR,1/31/2019,Pending,STR,1201 Monterey Boulevard,4/9/2019,Open
2019-005017STR,1/31/2019,Pending,STR,136 Casitas Avenue,4/10/2019,Open
2019-013584STR,1/31/2019,Pending,STR,221 Cresta Vista Drive,7/5/2019,Accepted
2019-004903STR,1/31/2019,Pending,STR,1251 Hyde Street Unit 6,4/8/2019,Accepted
2019-004907STR,1/31/2019,Pending,STR,214 Twin Peaks Boulevard,4/8/2019,Open
2019-000382STR,1/31/2019,Pending,STR,1300 Gilman Avenue,1/9/2019,Open
2019-001822STR,1/31/2019,Pending,STR,385 CRESTMONT DRIVE,2/13/2019,Accepted
2019-004114STR,1/31/2019,Pending,STR,40 Pico Avenue,3/21/2019,Open
2019-003949STR,1/31/2019,Pending,STR,441 Castenada Avenue,3/19/2019,Open
2019-004302STR,1/31/2019,Pending,STR,151 Chicago Way,3/26/2019,Open
2019-004983STR,1/31/2019,Pending,STR,355 Moncada Way,4/9/2019,Open
2019-003485STR,1/31/2019,Pending,STR,583 Corbett Ave,3/11/2019,Accepted
2019-003489STR,1/31/2019,Pending,STR,225 LILY STREET,3/11/2019,Accepted
2019-001909STR,1/31/2019,Pending,STR,3587 Mission Street,2/14/2019,Open
2019-001792STR,1/31/2019,Pending,STR,1943 10th Avenue,2/13/2019,Accepted
2019-001828STR,1/31/2019,Pending,STR,1473 Hudson Avenue,2/13/2019,Accepted
2019-000249STR,1/31/2019,Pending,STR,1468 Broadway (2nd application by same host),1/7/2019,Open
2019-000561STR,1/31/2019,Pending,STR,827 SCOTT STREET,1/14/2019,Accepted
2019-004059STR,1/31/2019,Pending,STR,2085 Ulloa Street,3/21/2019,Open
2019-004332STR,1/31/2019,Pending,STR,115 Scott Street,3/26/2019,Under Review
2019-004550STR,1/31/2019,Pending,STR,233 Missouri Street,4/1/2019,Open
2019-004380STR,1/31/2019,Pending,STR,3632 25th Street,3/27/2019,Under Review
2020-001518STR,1/31/2020,Pending,STR,301 Bryant Street,1/21/2020,Accepted
2020-001520STR,1/31/2020,Pending,STR,1063 Lombard Street,1/18/2020,Accepted
2020-000069STR,1/31/2020,Pending,STR,18 Belvedere Street,1/3/2020,Open
20EST-000025,1/31/2020,Pending,STR,,10/30/2020,Open
20EST-000028,1/31/2020,Pending,STR,,11/19/2020,Open
2020-010273STR,1/31/2020,Pending,STR,"36a Rico Way, San Francisco, CA 94123, US",10/31/2020,Under Review
2020-010274STR,1/31/2020,Pending,STR,"1521 Treat Avenue, San Francisco, CA 94110, US",10/20/2020,Under Review
2020-011396STR,1/31/2020,Pending,STR,965 Natoma Street,11/18/2020,Under Review
2020-011398STR,1/31/2020,Pending,STR,186 Liberty Street,11/25/2020,Under Review
2020-011400STR,1/31/2020,Pending,STR,37 Chenery Street,12/4/2020,Under Review
20EST-000024,1/31/2020,Pending,STR,,10/29/2020,Open
2020-002739STR,1/31/2020,Pending,STR,1331 47th Avenue,2/26/2020,Accepted
2020-003512STR,1/31/2020,Pending,STR,25 Latona Street,3/12/2020,Accepted
2020-003715STR,1/31/2020,Pending,STR,1642 Palou Avenue,3/16/2020,Under Review
2020-003632STR,1/31/2020,Pending,STR,132 Ripley Street,3/2/2020,Under Review
2020-004499STR,1/31/2020,Pending,STR,74 San Jacinto Way (2nd application),4/11/2020,Open
2020-004384STR,1/31/2020,Pending,STR,6022 California Street,4/6/2020,Open
2020-004502STR,1/31/2020,Pending,STR,890 Chestnut Street,4/13/2020,Open
2020-000386STR,1/31/2020,Pending,STR,330 31st Avenue,12/16/2019,Under Review
2020-000393STR,1/31/2020,Pending,STR,151 Bernard Street,12/12/2019,Under Review
2020-000394STR,1/31/2020,Pending,STR,1443 Quesada Avenue,12/20/2019,Under Review
2020-000397STR,1/31/2020,Pending,STR,159 Octavia Street,12/17/2019,Under Review
2020-000399STR,1/31/2020,Pending,STR,2123 24th Street,12/19/2019,Under Review
2020-000402STR,1/31/2020,Pending,STR,1367 28th Avenue,12/20/2019,Under Review
2020-000404STR,1/31/2020,Pending,STR,579 Burnett Avenue Unit 3,12/12/2019,Accepted
2020-000406STR,1/31/2020,Pending,STR,527 Lincoln Way,12/16/2019,Under Review
2020-000412STR,1/31/2020,Pending,STR,2027 Powell Street,12/12/2019,Under Review
2020-000414STR,1/31/2020,Pending,STR,43 Mars Street,12/24/2019,Under Review
2020-000138STR,1/31/2020,Pending,STR,2327 Turk Blvd,1/6/2020,Accepted
2020-001503STR,1/31/2020,Pending,STR,2381 Bush Street,1/10/2020,Accepted
2020-001505STR,1/31/2020,Pending,STR,1655 Mission St Unit 729,12/20/2019,Accepted
2020-001506STR,1/31/2020,Pending,STR,2341 Bryant Street,1/14/2020,Accepted
2020-001512STR,1/31/2020,Pending,STR,23 Card Alley #B,1/17/2020,Accepted
