RECORDID,ROW_INDEX,Review_Type,PARENTRECORDID,DATECLOSED,closedate
2017-011827ENV,1,Categorical Exemption-Determination of Historic Resource,2017-011827PRJ,1/11/2021,1/11/2021
2017-011878ENV,1,Initial Study-Environmental Impact Report,2017-011878PRJ,2/20/2020,2/20/2020
2017-012132ENV,1,Categorical Exemption-Determination of Historic Resource,2017-012132PRJ,9/25/2018,9/25/2018
2017-012333ENV,1,Categorical Exemption-Stamp,2017-012333PRJ,11/15/2018,11/15/2018
2017-012336ENV,1,Categorical Exemption-Determination of Historic Resource,2017-012336PRJ,4/5/2018,4/5/2018
2017-012498ENV,1,Public Project Exemption,,9/28/2017,9/28/2017
2017-012585ENV,1,Categorical Exemption-Determination of Historic Resource,2017-012585PRJ,10/28/2019,10/28/2019
2017-012929ENV,1,Categorical Exemption-Determination of Historic Resource,2017-012929PRJ,12/13/2018,12/13/2018
2017-013059ENV,1,Categorical Exemption-Determination of Historic Resource,2017-013059PRJ,3/15/2018,3/15/2018
2017-013130ENV,2,Statutory Exemption,,10/13/2017,10/13/2017
2017-013224ENV,1,Public Project Exemption,,11/1/2017,11/1/2017
2017-013259ENV,1,Categorical Exemption-Determination of Historic Resource,2017-013259PRJ,11/22/2017,11/22/2017
2017-013269ENV,1,Public Project Exemption,,11/1/2017,11/1/2017
2017-013410ENV,1,Categorical Exemption-Certificate,2017-013410PRJ,12/27/2017,12/27/2017
2017-013537ENV,1,Categorical Exemption-Stamp,2017-013537PRJ,5/29/2019,5/29/2019
2017-013728ENV,0,Community Plan-Determination,2017-013728PRJ,5/6/2021,5/6/2021
2017-013880ENV,1,Public Project Exemption,,10/30/2017,10/30/2017
2017-013929ENV,0,Categorical Exemption-Class 32,2017-013929PRJ,1/9/2019,1/9/2019
2017-013959ENV,1,Categorical Exemption-Certificate,2017-013959PRJ,1/2/2020,1/2/2020
2017-014283ENV,5,Statutory Exemption,,11/14/2017,11/14/2017
2017-014314ENV-02,1,Categorical Exemption-Determination of Historic Resource,2017-014314PRJ,2/12/2020,2/12/2020
2017-014346ENV,1,Categorical Exemption-Determination of Historic Resource,2017-014346PRJ,9/14/2018,9/14/2018
2017-014369ENV,1,Statutory Exemption,,11/14/2017,11/14/2017
2017-014375ENV,1,PUC EIR,,6/17/2021,6/17/2021
2017-014417ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2017-014417PRJ,1/10/2020,1/10/2020
2017-014685ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2017-014685PRJ,3/15/2018,3/15/2018
2017-015039ENV,1,Community Plan-Determination,2017-015039PRJ,4/27/2021,4/27/2021
2017-015115ENV,0,Categorical Exemption-Stamp,2017-015115PRJ,12/14/2018,12/14/2018
2017-015199ENV,1,Categorical Exemption-Stamp,2017-015199PRJ,11/29/2018,11/29/2018
2017-015226ENV,1,Public Project Exemption,,12/1/2017,12/1/2017
2017-015228ENV,1,Public Project Exemption,,12/1/2017,12/1/2017
2017-015242ENV,1,Statutory Exemption,,10/28/2019,10/28/2019
2017-015407ENV,1,Public Project Exemption,,1/12/2018,1/12/2018
2017-015466ENV,1,Categorical Exemption-Stamp,2017-015466PRJ,6/14/2019,6/14/2019
2017-016104ENV,1,Public Project Exemption,,2/9/2018,2/9/2018
2017-016116ENV,1,Categorical Exemption-Determination of Historic Resource,2017-016116PRJ,10/24/2018,10/24/2018
2017-016403ENV,1,Public Project Exemption,,5/7/2018,5/7/2018
2017-016437ENV,1,Categorical Exemption-Determination of Historic Resource,2017-016437PRJ,4/25/2018,4/25/2018
2017-016476ENV,0,Categorical Exemption-Class 32,2017-016476PRJ,10/4/2018,10/4/2018
2018-000037ENV,1,Statutory Exemption,,1/8/2018,1/8/2018
2018-000039ENV,1,Statutory Exemption,,1/5/2018,1/5/2018
2018-000639ENV,1,Public Project Exemption,,10/28/2019,10/28/2019
2018-000739ENV,1,Categorical Exemption-Stamp,2018-000739PRJ,2/28/2019,2/28/2019
2018-000763ENV,1,Statutory Exemption,,1/23/2018,1/23/2018
2018-000845ENV,1,Public Project Exemption,,2/5/2018,2/5/2018
2018-000984ENV,1,Statutory Exemption,,1/23/2018,1/23/2018
2018-001033ENV,1,Categorical Exemption-Determination of Historic Resource,2018-001033PRJ,4/5/2019,4/5/2019
2018-001122ENV,2,Community Plan-Determination,2018-001122PRJ,9/29/2020,9/29/2020
2018-001372ENV,1,Public Project Exemption,,5/7/2018,5/7/2018
2018-001705ENV,1,Public Project Exemption,2018-001705PRJ,5/8/2018,5/8/2018
2018-001764ENV,1,Categorical Exemption-Certificate,2018-001764PRJ,2/22/2018,2/22/2018
2018-001887ENV,1,Categorical Exemption-Determination of Historic Resource,2018-001887PRJ,3/9/2018,3/9/2018
2018-001890ENV,1,Public Project Exemption,2018-001890PRJ,2/20/2018,2/20/2018
2018-001936ENV,0,Categorical Exemption-Class 32,2018-001936PRJ,11/26/2018,11/26/2018
2018-001983ENV,2,Initial Study-Negative Declaration,2018-001983PRJ,11/1/2018,11/1/2018
2018-004158ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2018-004158PRJ,1/29/2019,1/29/2019
2018-004212ENV,1,Statutory Exemption,2018-004212PRJ,3/27/2018,3/27/2018
2018-004282ENV,0,Categorical Exemption-Determination of Historic Resource,2018-004282PRJ,9/21/2018,9/21/2018
2018-004300ENV,1,Public Project Exemption,2018-004300PRJ,4/12/2018,4/12/2018
2018-004515ENV,1,Public Project Exemption,,4/6/2018,4/6/2018
2018-004529ENV,1,Public Project Exemption,,4/6/2018,4/6/2018
2018-002266ENV,1,Categorical Exemption-Determination of Historic Resource,2018-002266PRJ,8/9/2018,8/9/2018
2018-002318ENV,1,Categorical Exemption-Class 32,2018-002318PRJ,3/20/2019,3/20/2019
2018-002625ENV,1,Categorical Exemption-Class 32,2018-002625PRJ,7/14/2021,7/14/2021
2018-002632ENV,1,Categorical Exemption-Determination of Historic Resource,2018-002632PRJ,4/23/2018,4/23/2018
2018-002640ENV,1,Categorical Exemption-Determination of Historic Resource,2018-002640PRJ,5/21/2018,5/21/2018
2018-002681ENV,1,Categorical Exemption-Stamp,2018-002681PRJ,4/20/2018,4/20/2018
2018-002861ENV,1,Public Project Exemption,2018-002861PRJ,3/1/2018,3/1/2018
2018-003085ENV,0,Categorical Exemption-Determination of Historic Resource,2018-003085PRJ,7/18/2019,7/18/2019
2018-003094ENV,1,Categorical Exemption-Determination of Historic Resource,2018-003094PRJ,4/13/2018,4/13/2018
2018-003103ENV,1,Categorical Exemption-Stamp,2018-003103PRJ,7/12/2019,7/12/2019
2018-003258ENV,1,Statutory Exemption,2018-003258PRJ,3/16/2018,3/16/2018
2018-003398ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2018-003398PRJ,7/10/2018,7/10/2018
2018-003436ENV,1,Categorical Exemption-Determination of Historic Resource,2018-003436PRJ,10/28/2019,10/28/2019
2018-003577ENV,1,Categorical Exemption-Stamp,2018-003577PRJ,2/14/2019,2/14/2019
2018-003610ENV,0,Categorical Exemption-Determination of Historic Resource,2018-003610PRJ,12/7/2018,12/7/2018
2018-003692ENV,0,Categorical Exemption-Determination of Historic Resource,2018-003692PRJ,11/20/2018,11/20/2018
2018-003808ENV,1,Public Project Exemption,,3/27/2018,3/27/2018
2018-003865ENV,1,Categorical Exemption-Stamp,2018-003865PRJ,4/3/2018,4/3/2018
2018-003959ENV,1,Public Project Exemption,2018-003959PRJ,3/27/2018,3/27/2018
2018-004002ENV,1,Public Project Exemption,2018-004002PRJ,4/6/2018,4/6/2018
2018-004105ENV,1,Statutory Exemption,2018-004105PRJ,3/23/2018,3/23/2018
2018-004111ENV,1,Statutory Exemption,2018-004111PRJ,3/27/2018,3/27/2018
2018-004120ENV,1,Statutory Exemption,2018-004120PRJ,3/27/2018,3/27/2018
2018-004125ENV,1,Statutory Exemption,2018-004125PRJ,3/27/2018,3/27/2018
2018-004132ENV,1,Statutory Exemption,2018-004132PRJ,10/28/2019,10/28/2019
2018-004154ENV,1,Statutory Exemption,2018-004154PRJ,3/26/2018,3/26/2018
2018-004569ENV,1,Categorical Exemption-Determination of Historic Resource,2018-004569PRJ,7/28/2022,7/28/2022
2018-004686ENV,1,Categorical Exemption-Class 32,2018-004686PRJ,8/30/2021,8/30/2021
2018-004749ENV,1,Public Project Exemption,,4/6/2018,4/6/2018
2018-005309ENV,1,Statutory Exemption,2018-005309PRJ,10/24/2019,10/24/2019
2018-005321ENV,1,Categorical Exemption-Determination of Historic Resource,2018-005321PRJ,10/11/2018,10/11/2018
2018-005323ENV,1,Categorical Exemption-Determination of Historic Resource,2018-005323PRJ,4/27/2018,4/27/2018
2018-005418ENV,1,Public Project Exemption,2018-005418PRJ,11/29/2018,11/29/2018
2018-005545ENV,1,Public Project Exemption,2018-005545PRJ,4/26/2018,4/26/2018
2018-005625ENV,1,Public Project Exemption,2018-005625PRJ,11/29/2018,11/29/2018
2018-005768ENV,0,Categorical Exemption-Stamp,2018-005768PRJ,10/24/2018,10/24/2018
2018-005771ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2018-005771PRJ,2/4/2019,2/4/2019
2018-005774ENV,1,Public Project Exemption,2018-005774PRJ,7/10/2018,7/10/2018
2018-005925ENV,1,Statutory Exemption,2018-005925PRJ,10/24/2019,10/24/2019
2018-005989ENV,1,Statutory Exemption,2018-005989PRJ,10/24/2019,10/24/2019
2018-005995ENV,1,Statutory Exemption,2018-005995PRJ,10/24/2019,10/24/2019
2018-006008ENV,1,Statutory Exemption,2018-006008PRJ,10/24/2019,10/24/2019
2018-006180ENV,1,Public Project Exemption,2018-006180PRJ,10/28/2019,10/28/2019
2018-006203ENV,1,Categorical Exemption-Stamp,2018-006203PRJ,5/30/2018,5/30/2018
2018-006248ENV,1,Public Project Exemption,2018-006248PRJ,4/26/2018,4/26/2018
2018-006287ENV,1,Public Project Exemption,2018-006287PRJ,7/5/2018,7/5/2018
2018-006359ENV,1,Public Project Exemption,,5/7/2018,5/7/2018
2018-006407ENV,1,Public Project Exemption,,5/7/2018,5/7/2018
2018-006615ENV,1,Categorical Exemption-Stamp,2018-006615PRJ,8/14/2018,8/14/2018
2018-006782ENV,1,Public Project Exemption,2018-006782PRJ,5/16/2018,5/16/2018
2018-006841ENV,1,Statutory Exemption,2018-006841PRJ,5/16/2018,5/16/2018
2018-007001ENV,1,Categorical Exemption-Determination of Historic Resource,2018-007001PRJ,6/15/2018,6/15/2018
2018-007012ENV,0,Categorical Exemption-Determination of Historic Resource,2018-007012PRJ,1/24/2019,1/24/2019
2018-007094ENV,1,Categorical Exemption-Stamp,2018-007094PRL,7/25/2018,7/25/2018
2018-007166ENV,1,Public Project Exemption,2018-007166PRJ,5/21/2018,5/21/2018
2018-007364ENV,0,Categorical Exemption-Determination of Historic Resource,2018-007364PRJ,11/20/2018,11/20/2018
2018-007380ENV,1,Categorical Exemption-Class 32,2018-007380PRJ,10/25/2021,10/25/2021
2018-007462ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-007462PRJ,9/25/2019,9/25/2019
2018-007498ENV,0,Categorical Exemption-Determination of Historic Resource,2018-007498PRJ,12/4/2018,12/4/2018
2018-007682ENV,1,Categorical Exemption-Stamp,2018-007682PRJ,9/20/2018,9/20/2018
2018-007730ENV,1,Categorical Exemption-Determination of Historic Resource,2018-007730PRJ,8/1/2018,8/1/2018
2018-007844ENV,1,Categorical Exemption-Determination of Historic Resource,2018-007844PRJ,12/5/2018,12/5/2018
2018-007883ENV,1,Initial Study-Environmental Impact Report,2018-007883PRJ,8/20/2020,8/20/2020
2018-007962ENV,1,Statutory Exemption,2018-007962PRJ,10/24/2019,10/24/2019
2018-007979ENV,1,Statutory Exemption,2018-007979PRJ,10/24/2019,10/24/2019
2018-007983ENV,1,Statutory Exemption,2018-007983PRJ,10/24/2019,10/24/2019
2018-008030ENV,0,Categorical Exemption-Stamp,2018-008030PRJ,7/11/2018,7/11/2018
2018-008114ENV,1,Categorical Exemption-Stamp,2018-008114PRJ,2/15/2019,2/15/2019
2018-008221ENV,1,Statutory Exemption,2018-008221PRJ,7/10/2018,7/10/2018
2018-008259ENV,1,Categorical Exemption-Class 32,2018-008259PRJ,12/7/2020,12/7/2020
2018-008323ENV,0,Categorical Exemption-Determination of Historic Resource,2018-008323PRJ,10/11/2018,10/11/2018
2018-008329ENV,1,Public Project Exemption,2018-008329PRJ,11/26/2018,11/26/2018
2018-008351ENV,1,Public Project Exemption,2018-008351PRJ,9/26/2018,9/26/2018
2018-008495ENV,1,Public Project Exemption,2018-008495PRJ,7/9/2019,7/9/2019
2018-008586ENV,0,Categorical Exemption-Stamp,2018-008586PRJ,7/17/2018,7/17/2018
2018-008592ENV,0,Categorical Exemption-Stamp,2018-008592PRJ,7/17/2018,7/17/2018
2018-008597ENV,0,Categorical Exemption-Stamp,2018-008597PRJ,7/17/2018,7/17/2018
2018-008661ENV,1,Community Plan-Determination,2018-008661PRJ,7/13/2020,7/13/2020
2018-008674ENV,1,Categorical Exemption-Stamp,2018-008674PRJ,8/14/2018,8/14/2018
2018-008802ENV,1,Categorical Exemption-Certificate,2018-008802PRJ,8/12/2021,8/12/2021
2018-008830ENV,1,Statutory Exemption,2018-008830PRJ,10/24/2019,10/24/2019
2018-008863ENV,0,Categorical Exemption-Determination of Historic Resource,2018-008863PRJ,12/14/2018,12/14/2018
2018-008971ENV,1,Categorical Exemption-Determination of Historic Resource,2018-008971PRJ,9/14/2018,9/14/2018
2018-008987ENV,1,Public Project Exemption,,6/25/2018,6/25/2018
2018-009149ENV,1,Categorical Exemption-Determination of Historic Resource,2018-009149PRJ,9/5/2018,9/5/2018
2018-009159ENV,1,Categorical Exemption-Stamp,2018-009159PRJ,6/14/2019,6/14/2019
2018-009380ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-009380PRJ,2/4/2019,2/4/2019
2018-009389ENV,1,Public Project Exemption,,7/9/2018,7/9/2018
2018-009426ENV,0,Categorical Exemption-Stamp,2018-009426PRJ,10/28/2019,10/28/2019
2018-009480ENV,1,Public Project Exemption,2018-009480PRJ,9/27/2018,9/27/2018
2018-009598ENV,1,Categorical Exemption-Determination of Historic Resource,2018-009598PRJ,9/5/2018,9/5/2018
2018-009619ENV,0,Categorical Exemption-Determination of Historic Resource,2018-009619PRJ,3/28/2019,3/28/2019
2018-009984ENV,1,Public Project Exemption,2018-009984PRJ,10/4/2018,10/4/2018
2018-010062ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-010062PRJ,12/19/2018,12/19/2018
2018-010178ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-010178PRJ,11/6/2018,11/6/2018
2018-010203ENV,1,Public Project Exemption,,7/23/2018,7/23/2018
2018-010274ENV,1,Categorical Exemption-Determination of Historic Resource,2018-010274PRJ,12/5/2018,12/5/2018
2018-010337ENV,1,Categorical Exemption-Determination of Historic Resource,2018-010337PRJ,2/7/2019,2/7/2019
2018-010465ENV,1,Categorical Exemption-Determination of Historic Resource,2018-010465PRJ,11/9/2018,11/9/2018
2018-010581ENV,0,Categorical Exemption-Determination of Historic Resource,2018-010581PRJ,3/21/2019,3/21/2019
2018-010781ENV,0,Categorical Exemption-Determination of Historic Resource,2018-010781PRJ,10/4/2018,10/4/2018
2018-010844ENV,0,Categorical Exemption-Determination of Historic Resource,2018-010844PRJ,1/31/2019,1/31/2019
2018-010846ENV,1,Categorical Exemption-Stamp,2018-010846PRJ,10/16/2018,10/16/2018
2018-010889ENV,1,Initial Study-Negative Declaration,2018-010889PRJ,1/24/2019,1/24/2019
2018-010921ENV,1,Public Project Exemption,2018-010921PRJ,8/28/2018,8/28/2018
2018-010928ENV,1,Public Project Exemption,,9/10/2018,9/10/2018
2018-010960ENV,0,Categorical Exemption-Determination of Historic Resource,2018-010960PRJ,3/15/2019,3/15/2019
2018-011031ENV,1,Categorical Exemption-Determination of Historic Resource,2018-011031PRJ,11/20/2018,11/20/2018
2018-011033ENV,1,Categorical Exemption-Stamp,2018-011033PRJ,9/21/2018,9/21/2018
2018-011045ENV,1,Public Project Exemption,2018-011045PRJ,9/7/2018,9/7/2018
2018-011062ENV,1,Categorical Exemption-Determination of Historic Resource,2018-011062PRJ,12/14/2018,12/14/2018
2018-011065ENV,1,Categorical Exemption-Determination of Historic Resource,2018-011065PRJ,3/6/2020,3/6/2020
2018-011322ENV,1,Public Project Exemption,,8/28/2018,8/28/2018
2018-011430ENV,1,Categorical Exemption-Determination of Historic Resource,2018-011430PRJ,2/2/2021,2/2/2021
2018-011585ENV,1,Public Project Exemption,,8/28/2018,8/28/2018
2018-011718ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-011718PRJ,3/28/2019,3/28/2019
2018-011734ENV,0,Categorical Exemption-Determination of Historic Resource,2018-011734PRJ,12/5/2018,12/5/2018
2018-011904ENV,0,Categorical Exemption-Determination of Historic Resource,2018-011904PRJ,6/12/2019,6/12/2019
2018-011910ENV,1,Public Project Exemption,,9/20/2018,9/20/2018
2018-011928ENV,0,Categorical Exemption-Determination of Historic Resource,2018-011928PRJ,12/4/2018,12/4/2018
2018-011958ENV,0,Categorical Exemption-Determination of Historic Resource,2018-011958PRJ,11/20/2018,11/20/2018
2018-011991ENV,0,Categorical Exemption-Stamp,2018-011991PRJ,2/28/2020,2/28/2020
2018-012070ENV,0,Categorical Exemption-Determination of Historic Resource,2018-012070PRJ,12/5/2018,12/5/2018
2018-012198ENV,1,Public Project Exemption,2018-012198PRJ,9/25/2018,9/25/2018
2018-012363ENV,1,Public Project Exemption,,9/11/2018,9/11/2018
2018-012427ENV,0,Categorical Exemption-Stamp,2018-012427PRJ,11/14/2018,11/14/2018
2018-012642ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2018-012642PRJ,11/25/2019,11/25/2019
2018-012820ENV,0,Categorical Exemption-Determination of Historic Resource,2018-012820PRJ,9/10/2019,9/10/2019
2018-013031ENV,0,Categorical Exemption-Stamp,2018-013031PRJ,4/25/2019,4/25/2019
2018-013044ENV,0,Categorical Exemption-Stamp,2018-013044PRJ,12/31/2018,12/31/2018
2018-013098ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2018-013098PRJ,7/28/2020,7/28/2020
2018-013133ENV,0,Categorical Exemption-Determination of Historic Resource,2018-013133PRJ,12/14/2018,12/14/2018
2018-013139ENV,0,Categorical Exemption-Determination of Historic Resource,2018-013139PRJ,5/15/2019,5/15/2019
2018-013149ENV,0,Categorical Exemption-Stamp,2018-013149PRJ,11/9/2018,11/9/2018
2018-013162ENV,1,Categorical Exemption-Determination of Historic Resource,2018-013162PRJ,4/23/2020,4/23/2020
2018-013189ENV,1,Public Project Exemption,,9/26/2018,9/26/2018
2018-013202ENV,1,Public Project Exemption,2018-013202PRJ,9/26/2018,9/26/2018
2018-013209ENV,1,Public Project Exemption,2018-013209PRJ,9/26/2018,9/26/2018
2018-013234ENV,1,Categorical Exemption-Determination of Historic Resource,2018-013234PRJ,3/15/2019,3/15/2019
2018-013319ENV,0,Categorical Exemption-Determination of Historic Resource,2018-013319PRJ,4/25/2019,4/25/2019
2018-013320ENV,0,Categorical Exemption-Determination of Historic Resource,2018-013320PRJ,12/28/2018,12/28/2018
2018-013346ENV,1,Public Project Exemption,2018-013346PRJ,9/28/2018,9/28/2018
2018-013426ENV,0,Categorical Exemption-Stamp,2018-013426PRJ,6/25/2019,6/25/2019
2018-013500ENV,1,Public Project Exemption,2018-013500PRJ,10/28/2019,10/28/2019
2018-013621ENV,0,Categorical Exemption-Stamp,2018-013621PRJ,4/25/2019,4/25/2019
2018-013688ENV,1,Public Project Exemption,,10/9/2018,10/9/2018
2018-013744ENV,1,Categorical Exemption-Determination of Historic Resource,2018-013744PRJ,5/22/2019,5/22/2019
2018-013879ENV,0,Categorical Exemption-Determination of Historic Resource,2018-013879PRJ,9/10/2019,9/10/2019
2018-013898ENV,1,Public Project Exemption,,10/11/2018,10/11/2018
2018-013939ENV,1,Statutory Exemption,2018-013939PRJ,10/24/2019,10/24/2019
2018-013950ENV,1,Public Project Exemption,,10/10/2018,10/10/2018
2018-014036ENV,0,Categorical Exemption-Determination of Historic Resource,2018-014036PRJ,2/4/2019,2/4/2019
2018-014193ENV,1,Categorical Exemption-Stamp,2018-014193PRJ,6/28/2019,6/28/2019
2018-014196ENV,0,Categorical Exemption-Determination of Historic Resource,2018-014196PRJ,3/25/2019,3/25/2019
2018-014238ENV,1,Categorical Exemption-Stamp,2018-014238PRJ,11/8/2018,11/8/2018
2018-014251ENV,1,Public Project Exemption,2018-014251PRJ,10/30/2018,10/30/2018
2018-014357ENV,1,EIR Addendum,2018-014357PRJ,11/20/2020,11/20/2020
2018-014505ENV,1,Public Project Exemption,,10/24/2018,10/24/2018
2018-014516ENV,1,Public Project Exemption,2018-014516PRJ,7/9/2019,7/9/2019
2018-014560ENV,1,Public Project Exemption,,11/7/2018,11/7/2018
2018-014568ENV,1,Public Project Exemption,2018-014568PRJ,11/7/2018,11/7/2018
2018-014668ENV,0,Categorical Exemption-Determination of Historic Resource,2018-014668PRJ,4/3/2019,4/3/2019
2018-014740ENV,1,Categorical Exemption-Stamp,2018-014740PRJ,6/14/2019,6/14/2019
2018-014774ENV,1,Categorical Exemption-Class 32,2018-014774PRJ,9/26/2019,9/26/2019
2018-014795ENV,1,Community Plan-Determination,2018-014795PRJ,6/9/2020,6/9/2020
2018-014863ENV,1,Public Project Exemption,,11/7/2018,11/7/2018
2018-014960ENV,1,Public Project Exemption,2018-014960PRJ,11/13/2018,11/13/2018
2018-015168ENV,1,Categorical Exemption-Stamp,2018-015168PRJ,5/14/2019,5/14/2019
2018-015228ENV,1,Categorical Exemption-Determination of Historic Resource,2018-015228PRJ,12/18/2018,12/18/2018
2018-015266ENV,1,Public Project Exemption,2018-015266PRJ,11/27/2018,11/27/2018
2018-015271ENV,0,Categorical Exemption-Stamp,2018-015271PRJ,8/26/2019,8/26/2019
2018-015340ENV,1,Categorical Exemption-Determination of Historic Resource,2018-015340PRJ,5/3/2019,5/3/2019
2018-015460ENV,1,Categorical Exemption-Stamp,2018-015460PRJ,10/10/2019,10/10/2019
2018-015711ENV,1,Categorical Exemption-Determination of Historic Resource,2018-015711PRJ,7/18/2019,7/18/2019
2018-015786ENV,1,Categorical Exemption-Class 32,2018-015786PRJ,11/18/2021,11/18/2021
2018-015796ENV,1,Statutory Exemption,2018-015796PRJ,12/20/2018,12/20/2018
2018-015815ENV,1,Categorical Exemption-Class 32,2018-015815PRJ,11/23/2020,11/23/2020
2018-015909ENV,1,Public Project Exemption,,11/20/2018,11/20/2018
2018-015932ENV,1,Categorical Exemption-Stamp,2018-015932PRJ,4/3/2019,4/3/2019
2018-016010ENV,1,Categorical Exemption-Determination of Historic Resource,2018-016010PRJ,12/17/2018,12/17/2018
2018-016051ENV,1,Statutory Exemption,2018-016051PRJ,11/29/2018,11/29/2018
2018-016137ENV,1,Categorical Exemption-Stamp,2018-016137PRJ,2/28/2019,2/28/2019
2018-016367ENV,1,Statutory Exemption,2018-016367PRJ,10/28/2019,10/28/2019
2018-016571ENV,1,Initial Study-Negative Declaration,2018-016571PRJ,6/16/2021,6/16/2021
2018-016597ENV,1,Statutory Exemption,2018-016597PRJ,12/20/2018,12/20/2018
2018-016683ENV,1,Categorical Exemption-Determination of Historic Resource,2018-016683PRJ,12/13/2019,12/13/2019
2018-016721ENV,1,Categorical Exemption-Class 32,2018-016721PRJ,3/4/2021,3/4/2021
2018-016808ENV,1,Community Plan-Determination,2018-016808PRJ,5/14/2021,5/14/2021
2018-016825ENV,1,Categorical Exemption-Determination of Historic Resource,2018-016825PRJ,4/29/2019,4/29/2019
2018-016897ENV,1,Public Project Exemption,2018-016897PRJ,11/21/2019,11/21/2019
2018-016944ENV,1,Categorical Exemption-Class 32,2018-016944PRJ,9/24/2019,9/24/2019
2018-016992ENV,1,Categorical Exemption-Determination of Historic Resource,2018-016992PRJ,3/4/2019,3/4/2019
2018-017058ENV,1,Categorical Exemption-Determination of Historic Resource,2018-017058PRJ,10/24/2019,10/24/2019
2018-017067ENV,1,Public Project Exemption,,12/19/2018,12/19/2018
2018-017113ENV,1,Public Project Exemption,2018-017113PRJ,10/28/2019,10/28/2019
2018-017173ENV,1,Categorical Exemption-Determination of Historic Resource,2018-017173PRJ,10/28/2019,10/28/2019
2018-017185ENV,1,Categorical Exemption-Determination of Historic Resource,2018-017185PRJ,3/25/2019,3/25/2019
2018-017249ENV,1,Public Project Exemption,,1/17/2019,1/17/2019
2019-000390ENV,1,Public Project Exemption,,1/7/2019,1/7/2019
2019-000392ENV,1,Public Project Exemption,,1/7/2019,1/7/2019
2019-000455ENV,1,Categorical Exemption-Determination of Historic Resource,2019-000455PRJ,11/15/2019,11/15/2019
2019-000494ENV,1,Community Plan-Determination,2019-000494PRJ,12/22/2020,12/22/2020
2019-000603ENV,1,Categorical Exemption-Determination of Historic Resource,2019-000603PRJ,3/21/2019,3/21/2019
2019-000606ENV,1,Categorical Exemption-Certificate,2019-000606PRJ,10/31/2019,10/31/2019
2019-000687ENV,1,Public Project Exemption,,1/17/2019,1/17/2019
2019-000691ENV,1,Public Project Exemption,,1/14/2019,1/14/2019
2019-000895ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2019-000895PRJ,7/3/2019,7/3/2019
2019-001013ENV,1,Categorical Exemption-Class 32,2019-001013PRJ,6/18/2019,6/18/2019
2019-001056ENV,1,Statutory Exemption,2019-001056PRJ,2/7/2019,2/7/2019
2019-001246ENV,1,Public Project Exemption,,1/25/2019,1/25/2019
2019-001389ENV,1,Public Project Exemption,2019-001389PRJ,2/21/2019,2/21/2019
2019-001550ENV,1,Categorical Exemption-Determination of Historic Resource,2019-001550PRJ,6/19/2019,6/19/2019
2019-001612ENV,1,Community Plan-Determination,2019-001612PRJ,4/26/2022,4/26/2022
2019-001618ENV,1,Public Project Exemption,,2/19/2019,2/19/2019
2019-001767ENV,1,Categorical Exemption-Determination of Historic Resource,2019-001767PRJ,5/23/2019,5/23/2019
2019-001852ENV,1,Public Project Exemption,,2/19/2019,2/19/2019
2019-001882ENV,1,Public Project Exemption,2019-001882PRJ,3/7/2019,3/7/2019
2019-002025ENV,1,Categorical Exemption-Determination of Historic Resource,2019-002025PRJ,9/9/2019,9/9/2019
2019-002036ENV,1,Categorical Exemption-Stamp,2019-002036PRJ,6/11/2019,6/11/2019
2019-002080ENV,1,Categorical Exemption-Stamp,2019-002080PRL,3/5/2019,3/5/2019
2019-002129ENV,1,Public Project Exemption,,2/21/2019,2/21/2019
2019-002153ENV,1,Statutory Exemption,2019-002153PRJ,2/22/2019,2/22/2019
2019-002274ENV,1,Categorical Exemption-Determination of Historic Resource,2019-002274PRJ,3/19/2021,3/19/2021
2019-002313ENV,1,Statutory Exemption,2019-002313PRJ,2/26/2019,2/26/2019
2019-002440ENV,1,Categorical Exemption-Class 32,2019-002440PRJ,8/15/2019,8/15/2019
2019-002665ENV,1,Categorical Exemption-Determination of Historic Resource,2019-002665PRJ,7/18/2019,7/18/2019
2019-002743ENV,1,EIR Addendum,2019-002743PRJ,5/15/2020,5/15/2020
2019-002769ENV,1,Categorical Exemption-Determination of Historic Resource,2019-002769PRJ,5/1/2019,5/1/2019
2019-002916ENV,1,Categorical Exemption-Determination of Historic Resource,2019-002916PRJ,8/13/2019,8/13/2019
2019-003543ENV,1,Categorical Exemption-Stamp,2019-003543PRJ,3/14/2019,3/14/2019
2019-003662ENV,1,Categorical Exemption-Determination of Historic Resource,2019-003662PRJ,9/26/2019,9/26/2019
2019-003676ENV,1,Categorical Exemption-Determination of Historic Resource,2019-003676PRJ,5/22/2019,5/22/2019
2019-004021ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2019-004021PRJ,3/20/2020,3/20/2020
