B1_ALT_ID,B1_SPECIAL_TEXT,B1_FILE_DD,B1_APPL_STATUS
2018-004802STR,1101 Gilman Avenue,12/19/2017,Closed - Approved
2018-004803STR,121 States Street,12/21/2017,Closed - Withdrawn
2018-004804STR,521 5TH AVE,12/26/2017,Closed - Withdrawn
2018-004805STR,1459 Powell St,12/29/2017,Closed - Disapproved
2018-004806STR,1051 De Haro Street Unit A,12/31/2017,Closed - Disapproved
2018-004807STR,2240 Broderick Street,1/2/2018,Under Review
2018-004808STR,2162 31st Avenue,1/3/2018,Closed - Disapproved
2018-004809STR,1972 Green Street,1/3/2018,Closed - Withdrawn
2018-004810STR,550 Sargent st,1/4/2018,Under Review
2018-004811STR,188 Montana Street,1/4/2018,Closed - Withdrawn
2018-004812STR,1730 Great Highway,1/5/2018,Closed - Withdrawn
2018-004813STR,612 Missouri #A,1/5/2018,Closed - Approved
2018-004832STR,63 Paramount Terrace,1/11/2018,Closed - Disapproved
2018-004833STR,2923 Jackson Street Apt #1,1/11/2018,Closed - Withdrawn
2018-004834STR,93 Webster Street,1/12/2018,Closed - Disapproved
2018-004835STR,930 Ashbury Street,1/12/2018,Closed - Disapproved
2018-004836STR,1772 Vallejo Street,1/12/2018,Closed - Disapproved
2018-004837STR,1664 Larkin Street Unit 20,1/12/2018,Closed - Disapproved
2018-004838STR,1081 Pine Street Unit 3 (or 301),1/12/2018,Closed - Approved
2018-004839STR,1743 Hayes Street,1/12/2018,Closed - Withdrawn
2018-004840STR,1759 43rd Avenue,1/12/2018,Closed - Disapproved
2018-004841STR,43 Miguel Street,1/12/2018,Closed - Disapproved
2018-004842STR,3720 Judah Street,1/14/2018,Closed - Approved
2018-004843STR,487 Vallejo Street,1/14/2018,Closed - Withdrawn
2018-004918STR,722 12th AVE,2/27/2018,Closed - Withdrawn
2018-004919STR,137 Alhambra Street,2/28/2018,Closed - Withdrawn
2018-004920STR,758 Arkansas Street,2/28/2018,Closed - Approved
2018-004921STR,1605 18th St,3/2/2018,Closed - Disapproved
2018-004922STR,2600 18th Street #25,3/2/2018,Closed - Withdrawn
2018-004941STR,4431 20th Street,3/10/2018,Closed - Disapproved
2018-004942STR,73 Maynard St,3/10/2018,Closed - Withdrawn
2018-004944STR,640 Church Street,3/12/2018,Closed - Disapproved
2018-004945STR,3777 23rd St,3/12/2018,Accepted
2018-004946STR,1883 47th Avenue,3/12/2018,Closed - Approved
2018-004947STR,4021 20th Street,3/12/2018,Closed - Approved
2018-004948STR,3629 23rd Street,3/13/2018,Closed - Approved
2018-004949STR,1433 shotwell,3/13/2018,Under Review
2018-004950STR,4173 Cesar Chavez Street,3/13/2018,Closed - Disapproved
2018-004951STR,133 Eureka Street,3/13/2018,Closed - Approved
2018-004952STR,152 Brewster Street,3/14/2018,Closed - Expired
2018-004953STR,190 Noe St,3/15/2018,Closed - Approved
2018-004954STR,9 Aztec Street,3/15/2018,Closed - Withdrawn
2018-004847STR,1434 La Playa Street,1/15/2018,Closed - Disapproved
2018-004848STR,1804 Filbert Street,1/15/2018,Closed - Approved
2018-004849STR,259 Clara Street Unit 101,1/15/2018,Closed - Approved
2018-004850STR,"943 Church Street, A",1/15/2018,Closed - Withdrawn
2018-004851STR,2279 A 15th street (owner changed it to 2281 A 15th Street by email),1/16/2018,Closed - Disapproved
2018-004852STR,2956 22nd street,1/16/2018,Accepted
2018-004870STR,375 Oak St.,1/22/2018,Closed - Withdrawn
2018-004871STR,78 Levant St,1/24/2018,Closed - Withdrawn
2018-004872STR,66 Joost Avenue,1/24/2018,Closed - Approved
2018-004873STR,1922 42nd Avenue,1/24/2018,Closed - Disapproved
2018-004874STR,135 Summit St,1/25/2018,Closed - Withdrawn
2018-005263STR,68 Saturn Street,3/16/2018,Closed - Approved
2018-005264STR,515 Gates Street,3/16/2018,Closed - Withdrawn
2018-005267STR,225 Jersey Street,3/16/2018,Closed - Withdrawn
2018-005268STR,636 Lyon Street,3/16/2018,Closed - Withdrawn
2018-005269STR,1407 Gough Street Unit 1,3/16/2018,Closed - Disapproved
2018-004814STR,1445 South Van Ness Avenue,1/5/2018,Closed - Approved
2018-004815STR,818 Hayes Street Apt #3,1/5/2018,Under Review
2018-004816STR,1075 Vallejo Street,1/5/2018,Closed - Withdrawn
2018-004817STR,300 Yerba Buena Avenue,1/7/2018,Closed - Approved
2018-004819STR,1771 48th Avenue,1/8/2018,Closed - Disapproved
2018-004820STR,2030 Lyon Street,1/8/2018,Closed - Approved
2018-004821STR,3341 Clement Street,1/8/2018,Closed - Withdrawn
2018-004844STR,3972 19th Street,1/14/2018,Closed - Approved
2018-004845STR,1493 Newcomb Ave,1/14/2018,Closed - Expired
2018-004846STR,2912 Steiner Street Unit 3,1/14/2018,Closed - Withdrawn
2018-004853STR,818 38th Ave,1/16/2018,Closed - Withdrawn
2018-004854STR,898 Fell Street,1/16/2018,Closed - Disapproved
2018-004855STR,137 Brussels Street,1/16/2018,Closed - Approved
2018-004856STR,3375 21st Street Unit 3,1/16/2018,Closed - Withdrawn
2018-004857STR,1655 22nd Ave,1/16/2018,Closed - Withdrawn
2018-004858STR,2100 22nd St.,1/16/2018,Closed - Disapproved
2018-004859STR,1145 Pine Street Unit 32,1/16/2018,Closed - Withdrawn
2018-004860STR,1630 47th Avenue,1/17/2018,Closed - Withdrawn
2018-004861STR,2395 44th ave,1/17/2018,Closed - Disapproved
2018-004862STR,319 Lexington st,1/17/2018,Withdrawn
2018-004863STR,885 Kansas Street,1/17/2018,Closed - Withdrawn
2018-004865STR,761 Dolores Street,1/17/2018,Closed - Withdrawn
2018-004866STR,34 Telegraph Place,1/19/2018,Closed - Withdrawn
2018-004867STR,1335 Union Street Unit 10,1/20/2018,Closed - Disapproved
2018-004868STR,784 Green Street,1/21/2018,Under Review
2018-004869STR,841 Dwight St,1/22/2018,Closed - Approved
2018-004875STR,2301 Polk Street Unit 9,1/26/2018,Closed - Disapproved
2018-004876STR,2445 Fillmore Street Unit 1,1/27/2018,Closed - Disapproved
2018-004877STR,43 Downey Street,1/28/2018,Under Review
2018-004955STR,1415 Oakdale Ave,3/16/2018,Closed - Approved
2018-004956STR,1115 Vallejo St.,3/19/2018,Closed - Disapproved
2018-004957STR,51 Albion ST Unit A,3/19/2018,Closed - Disapproved
2018-004958STR,261 Ellsworth Street,3/19/2018,Closed - Disapproved
2018-004959STR,1653 alabama street,3/19/2018,Closed - Disapproved
2018-004960STR,235 flournoy st,3/20/2018,Closed - Disapproved
2018-004961STR,359 Waller Street #4,3/21/2018,Closed - Withdrawn
2018-004962STR,2014 47th Ave,3/21/2018,Closed - Withdrawn
2018-004963STR,427 29th St,3/22/2018,Closed - Withdrawn
2018-004995STR,1013 Guerrero Street,1/16/2018,Closed - Approved
2018-004996STR,551 29th Street,1/16/2018,Closed - Withdrawn
2018-004997STR,1407 Gough Street Unit 8,1/16/2018,Closed - Disapproved
2018-004998STR,495 12th Avenue,1/16/2018,Closed - Disapproved
2018-004999STR,3670 24th Street,1/16/2018,Closed - Withdrawn
2018-005000STR,1270 Church Street #4,1/16/2018,Closed - Withdrawn
2018-005001STR,125 Prentiss Street,1/16/2018,Closed - Withdrawn
2018-005002STR,440 Fair Oaks Street,1/16/2018,Closed - Approved
2018-005003STR,3948 Folsom Street,1/16/2018,Closed - Withdrawn
2018-005004STR,2560 Hyde Street Unit 4,1/16/2018,Closed - Disapproved
2018-005006STR,225 Missouri Street,1/16/2018,Closed - Withdrawn
2018-005007STR,2046 Jefferson Street A,1/16/2018,Closed - Disapproved
2018-005008STR,2472 California Street,1/16/2018,Under Review
2018-005009STR,211 Divisadero Street,1/16/2018,Closed - Withdrawn
2018-005010STR,166 Ripley Street,2/16/2018,Closed - Approved
2018-005011STR,529 Stevenson Street 404 - Withdrawn by host moved out,2/16/2018,Closed - Withdrawn
2018-005012STR,12 Brentwood Avenue,2/16/2018,Closed - Withdrawn
2018-005013STR,3515 Pierce Street,2/16/2018,Closed - Withdrawn
2018-005014STR,28 Montcalm Street,2/16/2018,Closed - Withdrawn
2018-005015STR,1044 Capp Street,2/16/2018,Closed - Withdrawn
2018-004878STR,635 Steiner Street,1/29/2018,Closed - Disapproved
2018-004879STR,3131B Divisadero St.,1/29/2018,Under Review
2018-004880STR,22 Eugenia Ave,1/30/2018,Closed - Approved
2018-004881STR,180 Dolores St #8,1/31/2018,Closed - Approved
2018-004882STR,826 Diamond St,2/2/2018,Closed - Approved
2018-004883STR,1150 Hyde street #2,2/4/2018,Closed - Disapproved
2018-004884STR,551 Castro Street,2/4/2018,Closed - Approved
2018-004885STR,100 Florentine Street,2/4/2018,Closed - Disapproved
2018-004886STR,1275 Florida Street,2/5/2018,Closed - Disapproved
2018-004887STR,535 Fell Street,2/5/2018,Closed - Disapproved
2018-004888STR,363 Jersey St.,2/7/2018,Closed - Disapproved
2018-004889STR,736 San Bruno Ave,2/8/2018,Closed - Disapproved
2018-004890STR,1408 Kearny Street,2/8/2018,Under Review
2018-004891STR,1359 12th Avenue,2/8/2018,Closed - Disapproved
2018-004892STR,477 Oak Street,2/8/2018,Withdrawn
2018-004893STR,686 Huron Ave,2/8/2018,Closed - Approved
2018-004894STR,226 11th Ave,2/9/2018,Closed - Withdrawn
2018-004895STR,5533 California Street Unit 1,2/12/2018,Closed - Approved
2018-004896STR,1835 Golden Gate Avenute Unit 2,2/15/2018,Closed - Approved
2018-004897STR,321 Wilde Ave,2/15/2018,Closed - Approved
2018-004898STR,2515 Gough Street,2/16/2018,Closed - Approved
2018-004899STR,758 Green Street,2/19/2018,Closed - Disapproved
2018-004900STR,137 Farallones Street,2/19/2018,Closed - Approved
2018-004901STR,1315 Silliman St,2/19/2018,Closed - Approved
2018-004903STR,860 De Haro Street,2/20/2018,Closed - Withdrawn
2018-004904STR,1521 Treat Ave ,2/21/2018,Closed - Disapproved
2018-004905STR,526 Precita Avenue,2/21/2018,Closed - Approved
2018-004906STR,2106 22nd St,2/22/2018,Closed - Approved
2018-004907STR,2255 North Point Street. Apartment 104,2/23/2018,Closed - Expired
2018-004908STR,88 Guy Place Unit 206,2/23/2018,Closed - Disapproved
2018-004909STR,1330 Kirkham Street,2/23/2018,Closed - Disapproved
2018-004910STR,4142 24th Street,2/24/2018,Complete
2018-005016STR,832 Page Street,2/16/2018,Closed - Withdrawn
2018-005017STR,476 Liberty St garden studio,2/16/2018,Closed - Withdrawn
2018-005018STR,1296 Union Street,2/16/2018,Closed - Disapproved
2018-005019STR,2971 California Street 1,2/16/2018,Closed - Disapproved
2018-005020STR,3447 25th St,2/16/2018,Closed - Disapproved
2018-005021STR,591 Wildwood Way,2/16/2018,Closed - Disapproved
2018-005022STR,66 Montezuma Street,2/16/2018,Closed - Approved
2018-005023STR,150 Central Ave,2/16/2018,Closed - Disapproved
2018-005024STR,227 Guerrero Street A,2/16/2018,Closed - Withdrawn
2018-005025STR,866 Faxon Avenue,2/16/2018,Closed - Withdrawn
2018-005026STR,2578 Pine Street,2/16/2018,Closed - Withdrawn
2018-005028STR,347 10th Street,2/16/2018,Closed - Disapproved
2018-005029STR,377 Oak Street,2/16/2018,Closed - Withdrawn
2018-005030STR,1060 Gilman Avenue,2/16/2018,Closed - Disapproved
2018-005031STR,1225 Clay Street Unit 10 Revoked,2/16/2018,Closed - Withdrawn
2018-005032STR,409 Lyon Street Unit A,2/16/2018,Closed - Approved
2018-005033STR,457 Oak Street Unit 1,2/16/2018,Closed - Disapproved
2018-005034STR,37 Ottawa Avenue,2/16/2018,Closed - Disapproved
2018-005035STR,1426 48th Avenue,2/16/2018,Closed - Approved
2018-005036STR,436 Corbett Avenue,2/16/2018,Closed - Disapproved
2018-005037STR,4392 25th Street,2/16/2018,Closed - Withdrawn
2018-005038STR,725 Van Ness Avenue Unit B,2/16/2018,Closed - Withdrawn
2018-005039STR,2939 Folsom Street,2/16/2018,Closed - Withdrawn
2018-005040STR,14 Museum Way,2/16/2018,Closed - Withdrawn
2018-005042STR,3552 19th Street,2/16/2018,Closed - Withdrawn
2018-005044STR,3086 Washington Street,2/16/2018,Closed - Approved
2018-005045STR,2178 Fell Street,2/16/2018,Closed - Disapproved
2018-005046STR,375 Capp Street,2/16/2018,Closed - Approved
2018-004911STR,"2162 Pine St, Unit 203",2/25/2018,Closed - Withdrawn
2018-004912STR,319 22nd Ave,2/25/2018,Closed - Withdrawn
2018-004913STR,163 Forest Side Avenue,2/25/2018,Closed - Approved
2018-004914STR,107 Topaz Way,2/26/2018,Closed - Approved
2018-004915STR,3036 market street,2/26/2018,Under Review
2018-004916STR,734 Clayton St,2/26/2018,Closed - Withdrawn
2018-004917STR,24 Jennifer Place,2/27/2018,Closed - Disapproved
2018-004923STR,1515 Guerrero Street,3/6/2018,Closed - Approved
2018-004924STR,2877 Folsom Street,3/6/2018,Closed - Disapproved
2018-004925STR,255 Marina Blvd,3/7/2018,Closed - Withdrawn
2018-004926STR,614 Baker St,3/8/2018,Closed - Approved
2018-004927STR,246 Cumberland Street,3/8/2018,Closed - Withdrawn
2018-004928STR,1091 Hampshire st,3/8/2018,Closed - Withdrawn
2018-004929STR,1766 Revere Avenue,3/8/2018,Closed - Approved
2018-004930STR,905 Portola Dr,3/8/2018,Closed - Approved
2018-004931STR,1015 Goettingen Street,3/8/2018,Closed - Withdrawn
2018-004932STR,76 ellsworth street,3/8/2018,Closed - Withdrawn
2018-004933STR,30 CAINE AVE,3/8/2018,Closed - Approved
2018-004934STR,736 Page Street,3/8/2018,Closed - Withdrawn
2018-004935STR,1418 Ingalls st,3/9/2018,Closed - Withdrawn
2018-004936STR,2555 Diamond Street,3/9/2018,Closed - Withdrawn
2018-004938STR,1150 Balboa Street,3/9/2018,Closed - Approved
2018-004939STR,54 Balmy St,3/9/2018,Closed - Approved
2018-004940STR,2126 Grove Street,3/10/2018,Closed - Expired
2018-004965STR,6 Mint Plaza Unit 404,3/22/2018,Closed - Disapproved
2018-004966STR,1949 Green Street #1,3/23/2018,Closed - Disapproved
2018-004967STR,4171 Cesar Chavez St,3/23/2018,Closed - Withdrawn
2018-004969STR,2415 Van Ness Ave. #306,3/24/2018,Closed - Cancelled
2018-004970STR,237 Collingwood st ,3/25/2018,Closed - Disapproved
2018-005047STR,51 Scott Street,2/16/2018,Closed - Disapproved
2018-005048STR,120 Edgewood Avenue,2/16/2018,Closed - Approved
2018-005049STR,107 Jarboe Avenue,2/16/2018,Closed - Disapproved
2018-005051STR,665 19th Avenue,2/16/2018,Closed - Withdrawn
2018-005052STR,1145 Pine St #25,2/16/2018,Closed - Withdrawn
2018-005053STR,137 Cole Street,2/16/2018,Closed - Withdrawn
2018-005054STR,2131 35th Avenue,2/16/2018,Closed - Approved
2018-005055STR,2399 Bryant Street,2/16/2018,Closed - Withdrawn
2018-005056STR,226 Ashbury Street,2/16/2018,Closed - Withdrawn
2018-005057STR,828 Alabama Street,2/16/2018,Closed - Withdrawn
2018-005058STR,579 9th Ave,2/16/2018,Closed - Withdrawn
2018-005061STR,2041 Revere Avenue,2/16/2018,Closed - Disapproved
2018-005062STR,1250 Bush Street,2/16/2018,On Hold
2018-005085STR,1030 Washington Street Apt #2,2/16/2018,Closed - Disapproved
2018-005086STR,75 Elgin Park Apartment #1,2/16/2018,Closed - Disapproved
2018-005087STR,137 27th Street,2/16/2018,Closed - Disapproved
2018-005110STR,804 York Street,2/16/2018,Closed - Withdrawn
2018-005111STR,2394 Bryant Street,2/16/2018,Closed - Approved
2018-005112STR,2763 22nd Street SUSPENDED,2/16/2018,Closed - Withdrawn
2018-005113STR,61 Lucky St.,2/16/2018,Closed - Withdrawn
2018-005114STR,1009 Brazil Avenue,2/16/2018,Closed - Approved
2018-005115STR,43 Collingwood Street,2/16/2018,Closed - Withdrawn
2018-005116STR,1240 25th Avenue,2/16/2018,Closed - Withdrawn
2018-005117STR,1714 Clay Street Unit 10 Revoked.,2/16/2018,Closed - Withdrawn
2018-005118STR,578 London Street,2/16/2018,Closed - Disapproved
2018-005119STR,933 Noe Street,2/16/2018,Closed - Approved
2018-005120STR,180 Corwin Street #2,2/16/2018,Closed - Withdrawn
2018-005121STR,7 August Alley,2/16/2018,Closed - Disapproved
2018-005122STR,150 Julian Avenue,2/16/2018,Closed - Approved
2018-005123STR,895 Indiana Street WITHDRAWN BY HOST,2/16/2018,Closed - Withdrawn
2018-004971STR,389 Church Street,3/26/2018,Closed - Disapproved
2018-004972STR,930 Bay Street Unit 9,1/16/2018,Closed - Withdrawn
2018-004973STR,1140 York St,1/16/2018,Closed - Withdrawn
2018-004974STR,1180 York Street,1/16/2018,Closed - Withdrawn
2018-004975STR,179 Elsie Street,1/16/2018,Closed - Disapproved
2018-004976STR,1375 37th Avenue,1/16/2018,Closed - Approved
2018-004977STR,1400 Golden Gate Avenue,1/16/2018,Closed - Withdrawn
2018-004978STR,200 Portola Drive 202,1/16/2018,Under Review
2018-004979STR,1422 6th Avenue,1/16/2018,Closed - Withdrawn
2018-004980STR,22 Wood Street,1/16/2018,Closed - Withdrawn
2018-004981STR,13 Forest Knolls Drive,1/16/2018,Closed - Disapproved
2018-004982STR,1272 Hampshire Street,1/16/2018,Closed - Withdrawn
2018-004983STR,331 Gates Street,1/16/2018,Closed - Withdrawn
2018-004984STR,1338 Noe Street,1/16/2018,Under Review
2018-004985STR,667 21st Avenue,1/16/2018,Closed - Withdrawn
2018-004986STR,311 Castro Street,1/16/2018,Closed - Disapproved
2018-004987STR,725 Banks Street,1/16/2018,Closed - Approved
2018-004988STR,43 Woodward Street,1/16/2018,On Hold
2018-004989STR,225 Arkansas Street,1/16/2018,Closed - Withdrawn
2018-004991STR,936 York St. Apt. B,1/16/2018,Closed - Withdrawn
2018-004992STR,776 Geary Street Unit 605 REVOKED,1/16/2018,Closed - Withdrawn
2018-004993STR,345 Twin Peaks Blvd,1/16/2018,Closed - Disapproved
2018-004994STR,339 Shotwell St,1/16/2018,Closed - Approved
2018-005059STR,3739 Lawton Street,2/16/2018,Closed - Withdrawn
2018-005063STR,1030 Washington Street 3,2/16/2018,Closed - Disapproved
2018-005064STR,53 Surrey Street,2/16/2018,Closed - Withdrawn
2018-005065STR,190 Liberty Street,2/16/2018,Closed - Withdrawn
2018-005066STR,742 Baker Street,2/16/2018,Closed - Withdrawn
2018-005067STR,685 8th Avenue,2/16/2018,Under Review
2018-005124STR,635 Capp Street REVOKED,2/16/2018,Closed - Withdrawn
2018-005125STR,1172 Florida Street,2/16/2018,Closed - Withdrawn
2018-005128STR,1459 18th Avenue,2/16/2018,Closed - Approved
2018-005129STR,541 Lisbon Street,2/16/2018,Closed - Withdrawn
2018-005130STR,90 Aquavista Way,2/16/2018,Closed - Withdrawn
2018-005131STR,376 Eureka Street,2/16/2018,Closed - Disapproved
2018-005132STR,3426 19th Street Unit A,2/16/2018,Closed - Withdrawn
2018-005133STR,201 Mallorca Way Unit 6,2/16/2018,Closed - Disapproved
2018-005134STR,1335 Union Street Unit 9,2/16/2018,Closed - Disapproved
2018-005135STR,338 Potrero Avenue 203,2/16/2018,Under Review
2018-005136STR,4079 24th Street,2/16/2018,Disapproved
2018-005139STR,795 Elizabeth Street,2/16/2018,Closed - Withdrawn
2018-005140STR,726 Dartmouth Street,2/16/2018,Closed - Withdrawn
2018-005141STR,1589 Sacramento Street Unit 4,2/16/2018,Closed - Withdrawn
2018-005142STR,347 Eddy Street Unit 106,2/16/2018,Disapproved
2018-005143STR,3422 19th Street A,1/16/2018,Closed - Withdrawn
2018-005144STR,1432 Grove Street,1/16/2018,Under Review
2018-005163STR,885 Fulton Street,2/16/2018,Closed - Withdrawn
2018-005164STR,114 Broderick Street,1/16/2018,Closed - Disapproved
2018-005165STR,1654 Great Highway,1/16/2018,Under Review
2018-005166STR,2339 25th Avenue,1/16/2018,Closed - Withdrawn
2018-005168STR,675 Grand View Avenue,1/16/2018,Closed - Withdrawn
2018-005189STR,52 Clipper Street,1/16/2018,Closed - Approved
2018-005190STR,745 Goettingen Street Revoked,1/16/2018,Closed - Withdrawn
2018-005191STR,76 Mangels Avenue,1/16/2018,Closed - Withdrawn
2018-005192STR,1431 Baker Street,1/16/2018,Closed - Disapproved
2018-005193STR,228 Mississippi Street Unit A,1/16/2018,Closed - Approved
2018-005194STR,235 Laussat Street Unmarked Hallway Door to the left of #235,1/16/2018,Closed - Withdrawn
2018-005068STR,370 London Street,2/16/2018,Closed - Withdrawn
2018-005069STR,2190 27th Avenue,2/16/2018,Closed - Withdrawn
2018-005070STR,311 Banks Street,2/16/2018,Closed - Withdrawn
2018-005071STR,106 Madrid Street,2/16/2018,Closed - Withdrawn
2018-005072STR,2385 26th Avenue,2/16/2018,Under Review
2018-005073STR,42 Fountain Street,2/16/2018,Closed - Withdrawn
2018-005074STR,56 Woodward Street,2/16/2018,Closed - Disapproved
2018-005075STR,90 Paradise Avenue,2/16/2018,Closed - Withdrawn
2018-005077STR,330 29th Street,2/16/2018,Closed - Withdrawn
2018-005078STR,147 Precita Avenue,2/16/2018,Closed - Approved
2018-005079STR,15 Peralta Avenue,2/16/2018,Closed - Withdrawn
2018-005081STR,51 Santa Marina Street,2/16/2018,Closed - Approved
2018-005082STR,108 Ellsworth Street,2/16/2018,Closed - Withdrawn
2018-005083STR,821 Capp Street A,2/16/2018,Closed - Disapproved
2018-005088STR,1284 Treat Avenue,2/16/2018,Closed - Disapproved
2018-005089STR,1367 5th Avenue Apt B,2/16/2018,Closed - Disapproved
2018-005091STR,4525 Lincoln Way 2nd floor,2/16/2018,Closed - Withdrawn
2018-005092STR,362 Diamond St,2/16/2018,Closed - Withdrawn
2018-005093STR,541 - 543 Scott Street,2/16/2018,Closed - Disapproved
2018-005094STR,1543 Treat Avenue,2/16/2018,Closed - Disapproved
2018-005095STR,170 Yukon Street,2/16/2018,Closed - Withdrawn
2018-005096STR,1306 43rd Avenue 1,2/16/2018,Closed - Disapproved
2018-005098STR,317 Mississippi Street,2/16/2018,Closed - Disapproved
2018-005099STR,695 Rhode Island Street,2/16/2018,Closed - Disapproved
2018-005101STR,26 Wright Street,2/16/2018,Closed - Withdrawn
2018-005195STR,1701 Oak Street Unit 1,1/16/2018,Closed - Disapproved
2018-005196STR,2467 Harrison Street,1/16/2018,Closed - Withdrawn
2018-005197STR,915 Randolph Street,1/16/2018,Closed - Disapproved
2018-005198STR,115 San Juan Avenue,1/16/2018,Closed - Withdrawn
2018-005199STR,61 Ford Street,1/16/2018,Closed - Withdrawn
2018-005200STR,2111 41st Avenue,1/16/2018,Closed - Withdrawn
2018-005201STR,1448 12th Avenue,1/16/2018,Closed - Withdrawn
2018-005202STR,550 Congo Street,1/16/2018,Closed - Withdrawn
2018-005203STR,4169 20th Street,1/16/2018,Closed - Withdrawn
2018-005204STR,51 Arnold Avenue,1/16/2018,Closed - Disapproved
2018-005220STR,56 Collingwood Street,1/16/2018,Closed - Withdrawn
2018-005221STR,709 Grand View Avenue,1/16/2018,Closed - Withdrawn
2018-005222STR,229 Coleridge Street,1/16/2018,Closed - Withdrawn
2018-005223STR,1801 Franklin Street Apt 501,1/16/2018,Closed - Withdrawn
2018-005224STR,1951 Turk Street,1/16/2018,Closed - Approved
2018-005225STR,63 Woodland Avenue,1/16/2018,Closed - Withdrawn
2018-005226STR,834 41st Avenue,1/16/2018,Closed - Withdrawn
2018-005227STR,430 Fillmore Street Unit C,1/16/2018,Closed - Disapproved
2018-005228STR,253 San Carlos Street,1/16/2018,Under Review
2018-005229STR,44 Hartford Street,1/16/2018,Closed - Approved
2018-005230STR,76 Francis St,1/16/2018,Closed - Approved
2018-005231STR,1774 27th Avenue,2/16/2018,Closed - Disapproved
2018-005233STR,533 Missouri Street Unit 1,2/16/2018,Closed - Withdrawn
2018-005234STR,149 Arbor Street,2/16/2018,Closed - Approved
2018-005235STR,824 14th Street,3/16/2018,Closed - Approved
2018-005236STR,1880 Vallejo Street Unit 2,3/16/2018,Closed - Disapproved
2018-005237STR,981 Ingerson Avenue,3/16/2018,Closed - Disapproved
2018-005238STR,574 Castro Street,3/16/2018,Closed - Disapproved
2018-005239STR,2764 23rd Street,3/16/2018,Closed - Disapproved
2018-005240STR,1170 Hampshire Street,3/16/2018,Closed - Withdrawn
2018-005102STR,1138 Gilman Avenue,2/16/2018,Closed - Withdrawn
2018-005103STR,1344 Utah Street,2/16/2018,Closed - Withdrawn
2018-005105STR,4187 26th Street,2/16/2018,Closed - Withdrawn
2018-005106STR,1121 Noe Street,2/16/2018,Closed - Approved
2018-005107STR,2918 Pine Street,2/16/2018,Closed - Disapproved
2018-005108STR,608 Elizabeth Street,2/16/2018,Closed - Withdrawn
2018-005109STR,1115 Mason Street,2/16/2018,Closed - Disapproved
2018-005138STR,1934 Grove Street,2/16/2018,Closed - Withdrawn
2018-005145STR,757 Goettingen Street,1/16/2018,Closed - Approved
2018-005146STR,3420 Scott Street,1/16/2018,Closed - Withdrawn
2018-005147STR,2 Hale Street 2,1/16/2018,Disapproved
2018-005148STR,1759 La Salle Avenue,1/16/2018,Closed - Withdrawn
2018-005149STR,2624 21st Street,1/16/2018,Closed - Withdrawn
2018-005150STR,342 Faxon Avenue,1/16/2018,Closed - Disapproved
2018-005152STR,4679 18th Street,1/16/2018,Closed - Withdrawn
2018-005153STR,1931 Mason Street,1/16/2018,Closed - Approved
2018-005154STR,845 Pine Street Unit 24 (withdrawn  - lease violation),1/16/2018,Closed - Withdrawn
2018-005155STR,218 Anderson Street,1/16/2018,Closed - Disapproved
2018-005156STR,1959 Golden Gate Avenue,1/16/2018,Closed - Disapproved
2018-005157STR,1981 B Funston Ave,1/16/2018,Closed - Withdrawn
2018-005158STR,213 Steiner Street,1/16/2018,Closed - Disapproved
2018-005159STR,976 Elizabeth Street,1/16/2018,Closed - Withdrawn
2018-005160STR,71A Lupine Avenue,2/16/2018,Closed - Disapproved
2018-005161STR,1 Daniel Burnham Court,2/16/2018,Closed - Disapproved
2018-005162STR,2415 Van Ness Avenue Unit 605,2/16/2018,Closed - Approved
2018-005169STR,535 Page Street Room 2,1/16/2018,Under Review
2018-005171STR,1122 Page Street Apt 2,1/16/2018,Closed - Withdrawn
2018-005241STR,1082 De Haro Street,3/16/2018,Closed - Disapproved
2018-005242STR,1529 Golden Gate Avenue,2/16/2018,Closed - Disapproved
2018-005244STR,927 Greenwich Street Suite 933,2/16/2018,Closed - Withdrawn
2018-005245STR,241 10th Street,2/16/2018,Under Review
2018-005246STR,115 Lowell Street - Withdrawn,3/16/2018,Withdrawn
2018-005247STR,808 Oak Street A,3/16/2018,Closed - Disapproved
2018-005248STR,2953 Fillmore Street Apt A,3/16/2018,Closed - Withdrawn
2018-005250STR,85 Webster Street,3/16/2018,Closed - Disapproved
2018-005251STR,412 Eugenia Avenue,3/16/2018,Closed - Approved
2018-005252STR,1626 Great Highway Unit 3,3/16/2018,Closed - Withdrawn
2018-005253STR,240 Cumberland Street Unit 104,3/16/2018,Closed - Withdrawn
2018-005254STR,1306 43rd Avenue,3/16/2018,Closed - Disapproved
2018-005255STR,349 10th Street,3/16/2018,Closed - Disapproved
2018-005256STR,152 San Carlos Street Unit A,2/16/2018,Under Review
2018-005257STR,50 Northwood Drive,2/16/2018,Closed - Withdrawn
2018-005258STR,1076 Carolina Street,2/16/2018,Closed - Disapproved
2018-005259STR,3415 Mission Street,2/16/2018,Closed - Disapproved
2018-005270STR,380 14th Street 502,3/16/2018,Closed - Withdrawn
2018-005271STR,909 Central Avenue,3/16/2018,Closed - Withdrawn
2018-005272STR,"4021 20th Street, Unit 1/2 (Rear Cottage)",3/16/2018,Closed - Withdrawn
2018-005274STR,3481 Mission Street,3/16/2018,Closed - Disapproved
2018-005275STR,169 Corbett Avenue Unit B,3/23/2018,Closed - Disapproved
2018-005277STR,1638 17th Avenue,3/23/2018,Closed - Disapproved
