PARENT RECORD ID,Governing,Publication_Date,Review_Type
2013.0403,Exemption,3/12/2013,Categorical Exemption-Stamp
2013.0405,Exemption,4/11/2013,Review-Exemption Prepared by Another Agency
2013.0408,Exemption,2/26/2014,Categorical Exemption-Determination of Historic Resource Impact
2013.0413,Exemption,4/24/2013,Categorical Exemption-Class 32
2013.0414,Exemption,8/7/2014,Categorical Exemption-Stamp
2013.0415,Exemption,4/5/2013,Categorical Exemption-Determination of Historic Resource
2013.0416,Exemption,4/5/2013,Categorical Exemption-Stamp
2013.0417,Exemption,4/5/2013,Categorical Exemption-Determination of Historic Resource
2013.0418,Exemption,4/5/2013,Categorical Exemption-Class 32
2013.0419,Exemption,8/7/2014,Categorical Exemption-Stamp
2013.0423,Exemption,,Categorical Exemption-Certificate
2013.0424,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0426,Exemption,4/8/2013,Categorical Exemption-Stamp
2013.0427,Exemption,4/11/2013,Categorical Exemption-Stamp
2013.0428,Exemption,4/11/2013,Categorical Exemption-Stamp
2013.0429,Exemption,1/11/2013,Categorical Exemption-Stamp
2013.0430,Exemption,1/11/2013,Categorical Exemption-Stamp
2013.0431,Exemption,6/24/2015,Categorical Exemption-Stamp
2013.0432,Exemption,4/9/2013,Categorical Exemption-Determination of Historic Resource
2013.0433,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0438,Exemption,10/24/2013,Categorical Exemption-Determination of Historic Resource
2013.0443,Exemption,7/3/2013,Categorical Exemption-Stamp
2013.0444,Exemption,4/14/2014,Categorical Exemption-Determination of Historic Resource
2013.0445,Exemption,,Categorical Exemption-Class 32
2013.0447,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0448,Exemption,9/23/2013,Categorical Exemption-Stamp
2013.0465,Exemption,10/31/2013,Categorical Exemption-Stamp
2013.0470,Exemption,10/24/2013,Categorical Exemption-Stamp
2013.0471,Exemption,10/24/2013,Categorical Exemption-Determination of Historic Resource
2013.0474,Exemption,11/13/2013,Categorical Exemption-Class 32
2013.0480,Exemption,6/26/2013,Categorical Exemption-Stamp
2013.0482,Exemption,3/27/2014,Categorical Exemption-Certificate
2013.0485,Community Plan Evaluation,5/7/2015,Categorical Exemption-Determination of Historic Resource
2013.0487,Exemption,4/29/2013,Categorical Exemption-Class 32
2013.0488,Exemption,4/8/2013,Categorical Exemption-Stamp
2013.0491,Exemption,9/21/2015,Categorical Exemption-Determination of Historic Resource Impact
2013.0494,Exemption,7/11/2014,Categorical Exemption-Determination of Historic Resource
2013.0498,Exemption,8/8/2013,Categorical Exemption-Stamp
2013.0499,Exemption,,Categorical Exemption-Certificate
2013.0506,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0511,Negative Declaration,,Categorical Exemption-Stamp
2013.0517,Community Plan Evaluation,2/18/2016,Categorical Exemption-Stamp
2013.0519,Exemption,10/9/2013,Categorical Exemption-Stamp
2013.0520,Exemption,11/20/2013,Categorical Exemption-Determination of Historic Resource
2013.0522,Exemption,6/24/2013,Categorical Exemption-Stamp
2013.0523,Exemption,6/3/2013,Categorical Exemption-Stamp
2013.0526,Exemption,3/25/2013,Categorical Exemption-Certificate
2013.0527,Exemption,3/25/2013,Community Plan-Exemption/Exclusion
2013.0528,Exemption,3/25/2013,Categorical Exemption-Stamp
2013.0529,Exemption,3/25/2013,Categorical Exemption-Stamp
2013.0531,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0533,Exemption,2/22/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0535,Exemption,7/8/2013,Categorical Exemption-Determination of Historic Resource
2013.0538,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource
2013.0545,Exemption,2/21/2013,Categorical Exemption-Stamp
2013.0552,Exemption,5/3/2013,Community Plan-Exemption/Exclusion
2013.0553,Exemption,6/28/2013,Community Plan-Exemption/Exclusion
2013.0554,Exemption,,Community Plan-Exemption/Exclusion
2013.0556,Exemption,5/3/2013,Community Plan-Determination
2013.0557,Exemption,5/4/2013,Categorical Exemption-Stamp
2013.0558,Exemption,5/4/2013,Community Plan-Exemption/Exclusion
2013.0559,Exemption,,Community Plan-Exemption/Exclusion
2013.0560,Exemption,1/17/2014,Categorical Exemption-Stamp
2013.0561,Exemption,3/18/2014,Categorical Exemption-Certificate
2013.0562,Exemption,5/4/2013,Categorical Exemption-Stamp
2013.0563,Exemption,,Categorical Exemption-Stamp
2013.0564,Exemption,12/24/2013,Categorical Exemption-Stamp
2013.0566,Exemption,,Categorical Exemption-Certificate
2013.0567,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0568,Exemption,,Categorical Exemption-Determination of Historic Resource Impact
2013.0569,Exemption,8/26/2013,Categorical Exemption-Certificate
2013.0583,Exemption,12/18/2014,Categorical Exemption-Determination of Historic Resource
2013.0586,Exemption,6/10/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0590,Exemption,5/10/2013,Categorical Exemption-Determination of Historic Resource
2013.0591,Exemption,5/10/2013,Categorical Exemption-Stamp
2013.0592,Exemption,7/29/2013,Categorical Exemption-Stamp
2013.0593,Exemption,4/4/2013,Categorical Exemption-Stamp
2013.0594,Exemption,4/4/2013,Categorical Exemption-Class 32
2013.0595,Exemption,4/4/2013,Community Plan-Exemption/Exclusion
2013.0596,Exemption,4/4/2013,Categorical Exemption-Determination of Historic Resource
2013.0599,Exemption,5/31/2013,General Rule Exclusion
2013.0600,Exemption,4/29/2013,Categorical Exemption-Determination of Historic Resource
2013.0601,Exemption,5/31/2013,Categorical Exemption-Certificate
2013.0602,Exemption,5/31/2013,Categorical Exemption-Stamp
2013.0603,Exemption,4/29/2013,Community Plan-Exemption/Exclusion
2013.0604,Exemption,4/29/2013,Community Plan-Determination
2013.0605,Exemption,6/25/2013,Categorical Exemption-Stamp
2013.0607,Exemption,8/14/2013,Categorical Exemption-Determination of Historic Resource
2013.0608,Exemption,5/14/2013,Categorical Exemption-Determination of Historic Resource
2013.0610,Exemption,,Categorical Exemption-Stamp
2013.0612,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0613,Exemption,7/11/2013,Categorical Exemption-Stamp
2013.0614,Community Plan Evaluation,4/9/2015,Categorical Exemption-Stamp
2013.0615,Exemption,9/19/2013,Categorical Exemption-Stamp
2013.0618,Exemption,4/19/2013,Categorical Exemption-Stamp
2013.0619,Exemption,4/17/2013,Categorical Exemption-Certificate
2013.0621,Exemption,5/15/2013,Community Plan-Exemption/Exclusion
2013.0627,Exemption,4/9/2014,Community Plan-Determination
2013.0628,Exemption,1/28/2014,Categorical Exemption-Stamp
2013.0629,Community Plan Evaluation,5/19/2014,Categorical Exemption-Stamp
2013.0634,Exemption,4/17/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0635,Exemption,2/25/2013,Community Plan-Exemption/Exclusion
2013.0639,Exemption,10/9/2013,Community Plan-Determination
2013.0642,Exemption,5/20/2013,Categorical Exemption-Determination of Historic Resource
2013.0643,Exemption,5/2/2013,Categorical Exemption-Stamp
2013.0644,Exemption,5/2/2013,Categorical Exemption-Stamp
2013.0645,Exemption,5/2/2013,Categorical Exemption-Stamp
2013.0648,Exemption,6/12/2013,Categorical Exemption-Stamp
2013.0649,Exemption,5/22/2013,Categorical Exemption-Stamp
2013.0655,Exemption,10/22/2019,Categorical Exemption-Stamp
2013.0656,Exemption,7/26/2013,Categorical Exemption-Certificate
2013.0657,Exemption,5/22/2013,Categorical Exemption-Stamp
2013.0660,Exemption,,Categorical Exemption-Determination of Historic Resource Impact
2013.0664,Exemption,5/31/2013,Categorical Exemption-Stamp
2013.0666,Exemption,8/2/2013,Categorical Exemption-Determination of Historic Resource
2013.0668,Exemption,8/6/2013,Environmental Impact Report
2013.0669,Exemption,,Initial Study-Negative Declaration
2013.0670,Exemption,12/4/2013,Categorical Exemption-Stamp
2013.0671,Exemption,6/19/2013,Community Plan-Determination
2013.0672,Exemption,,Categorical Exemption-Certificate
2013.0673,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0677,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0678,Exemption,5/30/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0679,Exemption,7/8/2013,Categorical Exemption-Determination of Historic Resource
2013.0680,Addendum,,Categorical Exemption-Stamp
2013.0681,Exemption,6/20/2013,Categorical Exemption-Determination of Historic Resource
2013.0682,Exemption,4/29/2014,Categorical Exemption-Determination of Historic Resource
2013.0682PRJ,Exemption,5/11/2018,Environmental Impact Report
2013.0683,Addendum,,Categorical Exemption-Determination of Historic Resource
2013.0684,Exemption,5/30/2013,Categorical Exemption-Certificate
2013.0686,Exemption,5/31/2013,Categorical Exemption-Certificate
2013.0687,Exemption,8/16/2013,Categorical Exemption-Stamp
2013.0689,Community Plan Evaluation,10/1/2019,Categorical Exemption-Determination of Historic Resource
2013.0692,Exemption,8/6/2013,Categorical Exemption-Stamp
2013.0693,Exemption,,Categorical Exemption-Determination of Historic Resource Impact
2013.0694,Exemption,7/5/2013,Categorical Exemption-Certificate
2013.0697,Exemption,6/12/2013,Categorical Exemption-Stamp
2013.0698,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0699,Exemption,5/28/2013,Categorical Exemption-Class 32
2013.0700,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0701,Exemption,5/24/2013,Environmental Impact Report
2013.0702,Exemption,5/24/2013,Environmental Impact Report
2013.0704,Exemption,6/3/2013,Initial Study-Negative Declaration
2013.0705,Exemption,6/24/2013,Categorical Exemption-Stamp
2013.0706,Exemption,1/22/2014,Categorical Exemption-Stamp
2013.0735,Exemption,1/25/2014,Community Plan-Determination
2013.0742,Exemption,6/11/2013,Categorical Exemption-Certificate
2013.0744,Community Plan Evaluation,4/21/2015,Categorical Exemption-Stamp
2013.0759,Exemption,6/7/2013,Categorical Exemption-Stamp
2013.0761,Exemption,4/22/2014,Categorical Exemption-Class 32
2013.0762,Exemption,6/10/2013,Categorical Exemption-Stamp
2013.0763,Exemption,6/10/2013,Categorical Exemption-Stamp
2013.0764,Exemption,6/7/2013,Categorical Exemption-Stamp
2013.0765,Exemption,6/7/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0766,Exemption,6/6/2013,Categorical Exemption-Determination of Historic Resource
2013.0770,Community Plan Evaluation,,Categorical Exemption-Class 32
2013.0771,Exemption,6/13/2013,Categorical Exemption-Certificate
2013.0772,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0775,Exemption,,Categorical Exemption-Certificate
2013.0777,Exemption,11/11/2013,Community Plan-Exemption/Exclusion
2013.0778,Exemption,8/19/2013,Community Plan-Exemption/Exclusion
2013.0783,Exemption,9/18/2014,Community Plan-Exemption/Exclusion
2013.0784,Community Plan Evaluation,,Community Plan-Determination
2013.0785,Exemption,6/4/2013,Categorical Exemption-Certificate
2013.0786,Exemption,6/7/2013,Categorical Exemption-Certificate
2013.0787,Exemption,,Categorical Exemption-Stamp
2013.0788,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0791,Exemption,7/26/2013,Categorical Exemption-Determination of Historic Resource
2013.0792,Negative Declaration,10/14/2015,Categorical Exemption-Determination of Historic Resource
2013.0796,Exemption,6/13/2013,Categorical Exemption-Determination of Historic Resource
2013.0798,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0799,Exemption,8/30/2013,Categorical Exemption-Determination of Historic Resource
2013.0806,Exemption,6/17/2013,Categorical Exemption-Certificate
2013.0807,Exemption,6/17/2013,Categorical Exemption-Determination of Historic Resource
2013.0808,Exemption,,Categorical Exemption-Certificate
2013.0809,Exemption,,Community Plan-Exemption/Exclusion
2013.0810,Exemption,7/10/2013,Community Plan-Determination
2013.0811,Exemption,7/1/2013,Categorical Exemption-Determination of Historic Resource
2013.0812,Exemption,6/18/2013,Categorical Exemption-Stamp
2013.0813,Exemption,1/23/2014,Categorical Exemption-Determination of Historic Resource
2013.0815,Exemption,6/18/2013,General Rule Exclusion
2013.0816,Exemption,6/18/2013,Categorical Exemption-Stamp
2013.0817,Exemption,,Categorical Exemption-Stamp
2013.0818,Exemption,6/10/2013,Categorical Exemption-Stamp
2013.0820,Exemption,,Categorical Exemption-Stamp
2013.0821,Exemption,5/14/2014,Categorical Exemption-Certificate
2013.0824,Exemption,6/19/2013,Categorical Exemption-Stamp
2013.0826,Exemption,,Categorical Exemption-Stamp
2013.0827,Exemption,6/19/2013,Categorical Exemption-Stamp
2013.0831,Exemption,,Categorical Exemption-Stamp
2013.0832,Exemption,6/21/2013,Categorical Exemption-Stamp
2013.0833,Exemption,6/21/2013,Categorical Exemption-Stamp
2013.0836,Exemption,6/13/2013,Categorical Exemption-Certificate
2013.0837,Exemption,6/13/2013,Categorical Exemption-Certificate
2013.0838,Exemption,6/13/2013,Categorical Exemption-Determination of Historic Resource
2013.0839,Exemption,6/13/2013,Community Plan-Exemption/Exclusion
2013.0840,Exemption,6/13/2013,Community Plan-Determination
2013.0841,Exemption,6/13/2013,Categorical Exemption-Certificate
2013.0842,Exemption,6/13/2013,Community Plan-Exemption/Exclusion
2013.0843,Exemption,6/13/2013,Community Plan-Determination
2013.0844,Exemption,6/13/2013,Categorical Exemption-Determination of Historic Resource
2013.0845,Exemption,6/21/2013,Community Plan-Determination
2013.0846,Exemption,1/27/2021,Categorical Exemption-Stamp
2013.0847,Exemption,1/15/2014,Categorical Exemption-Determination of Historic Resource Impact
2013.0850,Negative Declaration,,Categorical Exemption-Determination of Historic Resource
2013.0851,Exemption,8/30/2013,Categorical Exemption-Determination of Historic Resource
2013.0858,Negative Declaration,9/23/2015,Categorical Exemption-Stamp
2013.0862,Exemption,,Categorical Exemption-Class 32
2013.0865,Exemption,6/27/2013,Initial Study-Negative Declaration
2013.0866,Exemption,6/28/2013,Initial Study-Negative Declaration
2013.0867,Exemption,7/1/2013,Community Plan-Exemption/Exclusion
2013.0881,Exemption,7/2/2013,Community Plan-Initial Study/Environmental Evaluation
2013.0883,Exemption,11/21/2013,Categorical Exemption-Determination of Historic Resource
2013.0884,Exemption,11/21/2013,Categorical Exemption-Determination of Historic Resource
2013.0887,Exemption,7/3/2013,Categorical Exemption-Stamp
2013.0891,Exemption,2/3/2014,Categorical Exemption-Determination of Historic Resource
2013.0893,Exemption,1/23/2014,Categorical Exemption-Determination of Historic Resource
2013.0895,Exemption,9/27/2013,Categorical Exemption-Stamp
2013.0897,Exemption,,Categorical Exemption-Stamp
2013.0898,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0901,Exemption,,Initial Study-Negative Declaration
2013.0902,Exemption,4/4/2014,Categorical Exemption-Stamp
2013.0903,Exemption,7/6/2013,Categorical Exemption-Stamp
2013.0904,Exemption,,Categorical Exemption-Stamp
2013.0905,Exemption,5/3/2013,Categorical Exemption-Determination of Historic Resource
2013.0907,Exemption,7/8/2013,Categorical Exemption-Certificate
2013.0908,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0910,Exemption,,Categorical Exemption-Certificate
2013.0913,Exemption,7/23/2013,Categorical Exemption-Determination of Historic Resource
2013.0924,Exemption,7/11/2013,Categorical Exemption-Stamp
2013.0925,Exemption,,Review-Exemption Prepared by Another Agency
2013.0926,Exemption,7/12/2013,Review-Exemption Prepared by Another Agency
2013.0927,Exemption,7/12/2013,Categorical Exemption-Certificate
2013.0928,Exemption,9/10/2013,Categorical Exemption-Certificate
2013.0929,Exemption,,Categorical Exemption-Stamp
2013.0930,Exemption,7/12/2013,Categorical Exemption-Stamp
2013.0931,Exemption,7/12/2013,Categorical Exemption-Stamp
2013.0932,Exemption,7/12/2013,Review-Exemption Prepared by Another Agency
2013.0933,Exemption,7/12/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.0934,Exemption,7/12/2013,Categorical Exemption-Stamp
2013.0938,Exemption,7/11/2013,Categorical Exemption-Class 32
2013.0939,Exemption,7/16/2013,Categorical Exemption-Stamp
2013.0941,Exemption,8/26/2013,Categorical Exemption-Stamp
2013.0942,Exemption,7/16/2013,Categorical Exemption-Stamp
2013.0943,Exemption,,Categorical Exemption-Stamp
2013.0945,Exemption,,Categorical Exemption-Determination of Historic Resource Impact
2013.0952,Exemption,1/22/2015,Categorical Exemption-Determination of Historic Resource Impact
2013.0953,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0954,Exemption,7/17/2013,Categorical Exemption-Stamp
2013.0955,Exemption,7/17/2013,Categorical Exemption-Stamp
2013.0960,Exemption,10/30/2013,Categorical Exemption-Stamp
2013.0962,Exemption,,Categorical Exemption-Stamp
2013.0966,Exemption,7/22/2013,Categorical Exemption-Stamp
2013.0973,Community Plan Evaluation,3/12/2015,Categorical Exemption-Stamp
2013.0974,Exemption,7/23/2013,Categorical Exemption-Class 32
2013.0975,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.0977,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource Impact
2013.0978,Exemption,,Categorical Exemption-Certificate
2013.0979,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.0980,Exemption,7/18/2013,Categorical Exemption-Determination of Historic Resource
2013.0983,Exemption,7/25/2013,Categorical Exemption-Determination of Historic Resource
2013.0986,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource Impact
2013.0987,Exemption,1/29/2014,Categorical Exemption-Determination of Historic Resource Impact
2013.0993,Exemption,,Categorical Exemption-Certificate
2013.0998,Exemption,7/31/2013,Categorical Exemption-Certificate
2013.1005,Community Plan Evaluation,,Categorical Exemption-Certificate
2013.1008,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.1009,Exemption,12/5/2013,Categorical Exemption-Certificate
2013.1011,Exemption,8/1/2013,Categorical Exemption-Certificate
2013.1014,Exemption,9/3/2013,Community Plan-Determination
2013.1022,Exemption,9/21/2015,Categorical Exemption-Determination of Historic Resource
2013.1023,Exemption,,Categorical Exemption-Stamp
2013.1036,Exemption,12/10/2013,Review-Exemption Prepared by Another Agency
2013.1037,Exemption,,Categorical Exemption-Class 32
2013.1040,Exemption,10/10/2013,Categorical Exemption-Class 32
2013.1044,Exemption,8/6/2013,Categorical Exemption-Determination of Historic Resource
2013.1049,Negative Declaration,,Categorical Exemption-Class 32
2013.1050,Exemption,8/7/2013,Community Plan-Exemption/Exclusion
2013.1066,Exemption,8/17/2013,Community Plan-Determination
2013.1067,Exemption,,Initial Study-Negative Declaration
2013.1070,Exemption,,Community Plan-Determination
2013.1076,Exemption,1/16/2014,Categorical Exemption-Certificate
2013.1083,Exemption,2/5/2014,Categorical Exemption-Certificate
2013.1084,Exemption,9/19/2013,Categorical Exemption-Stamp
2013.1085,Exemption,9/19/2013,Initial Study-Negative Declaration
2013.1101,0,8/9/2013,Initial Study-Negative Declaration
2013.1103,Exemption,8/9/2013,Categorical Exemption-Stamp
2013.1109,Community Plan Evaluation,3/20/2015,Categorical Exemption-Stamp
2013.1113,0,8/14/2013,Categorical Exemption-Stamp
2013.1118,Exemption,,Categorical Exemption-Stamp
2013.1120,Exemption,,Categorical Exemption-Stamp
2013.1124,Exemption,,Community Plan-Determination
2013.1125,Addendum,,Review-Exemption Prepared by Another Agency
2013.1147,Exemption,11/22/2013,Categorical Exemption-Stamp
2013.1148,Exemption,,Community Plan-Determination
2013.1149,Exemption,4/17/2014,Review-Exemption Prepared by Another Agency
2013.1151,Exemption,9/25/2013,Categorical Exemption-Stamp
2013.1157,Exemption,10/16/2013,Categorical Exemption-Determination of Historic Resource
2013.1163,Exemption,8/14/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.1164,Exemption,8/14/2013,Categorical Exemption-Stamp
2013.1165,Exemption,8/14/2013,Categorical Exemption-Stamp
2013.1166,Exemption,8/14/2013,Categorical Exemption-Stamp
2013.1168,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource Impact
2013.1170,Exemption,7/11/2013,Categorical Exemption-Determination of Historic Resource
2013.1172,Exemption,8/23/2013,Categorical Exemption-Determination of Historic Resource
2013.1173,Exemption,,Categorical Exemption-Determination of Historic Resource Impact
2013.1175,Exemption,11/21/2013,Categorical Exemption-Determination of Historic Resource
2013.1179,Community Plan Evaluation,3/12/2015,Categorical Exemption-Stamp
2013.1180,Exemption,6/6/2014,Categorical Exemption-Determination of Historic Resource
2013.1182,Exemption,,Categorical Exemption-Certificate
2013.1183,Exemption,1/15/2014,Categorical Exemption-Determination of Historic Resource
2013.1184,Exemption,10/7/2013,Categorical Exemption-Determination of Historic Resource
2013.1185,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.1186,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.1187,Exemption,8/23/2013,Categorical Exemption-Certificate
2013.1188,Exemption,8/23/2013,Categorical Exemption-Stamp
2013.1199,Exemption,8/26/2013,Categorical Exemption-Stamp
2013.1204,Exemption,8/26/2019,Categorical Exemption-Stamp
2013.1207,Exemption,10/7/2013,Categorical Exemption-Determination of Historic Resource
2013.1208,Exemption,,Categorical Exemption-Stamp
2013.1210,Exemption,,Categorical Exemption-Stamp
2013.1213,Exemption,9/24/2014,Categorical Exemption-Stamp
2013.1216,Exemption,8/29/2013,Categorical Exemption-Stamp
2013.1217,Exemption,8/29/2013,Review-Exemption Prepared by Another Agency
2013.1218,Exemption,8/29/2013,Review-Exemption Prepared by Another Agency
2013.1219,Exemption,8/29/2013,Review-Exemption Prepared by Another Agency
2013.1220,Negative Declaration,1/22/2015,Review-Exemption Prepared by Another Agency
2013.1224,Negative Declaration,,Review-Exemption Prepared by Another Agency
2013.1231,Exemption,9/11/2013,Review-Exemption Prepared by Another Agency
2013.1232,Exemption,,Review-Exemption Prepared by Another Agency
2013.1233,Exemption,9/9/2013,Categorical Exemption-Determination of Historic Resource
2013.1234,Exemption,9/9/2013,Review-Exemption Prepared by Another Agency
2013.1235,Exemption,9/3/2013,Categorical Exemption-Stamp
2013.1238,Exemption,4/20/2015,Review-Exemption Prepared by Another Agency
2013.1239,Exemption,9/4/2013,Review-Exemption Prepared by Another Agency
2013.1244,Exemption,8/20/2013,Categorical Exemption-Certificate
2013.1245,Exemption,11/27/2013,Community Plan-Determination
2013.1246,Exemption,,Community Plan-Exemption/Exclusion
2013.1247,Exemption,10/7/2013,Categorical Exemption-Stamp
2013.1249,Exemption,,Categorical Exemption-Stamp
2013.1251,Exemption,,Categorical Exemption-Stamp
2013.1253,Exemption,,Categorical Exemption-Stamp
2013.1262,Exemption,12/5/2013,Categorical Exemption-Stamp
2013.1263,Exemption,9/6/2013,Categorical Exemption-Certificate
2013.1265,Exemption,,Community Plan-Determination
2013.1266,Exemption,,Categorical Exemption-Stamp
2013.1268,Exemption,9/6/2013,Categorical Exemption-Stamp
2013.1269,Exemption,5/16/2014,Categorical Exemption-Determination of Historic Resource Impact
2013.1281,Community Plan Evaluation,12/23/2015,Categorical Exemption-Stamp
2013.1291,Exemption,6/20/2014,Categorical Exemption-Stamp
2013.1301,Exemption,9/20/2013,Categorical Exemption-Stamp
2013.1302,Exemption,11/13/2013,Categorical Exemption-Stamp
2013.1303,Exemption,9/11/2013,Categorical Exemption-Stamp
2013.1305,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.1330,Community Plan Evaluation,7/12/2016,Project Profile (PRJ)
2013.1334,Exemption,5/29/2014,Categorical Exemption-Class 32
2013.1335,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.1336,Exemption,9/19/2013,Categorical Exemption-Stamp
2013.1339,Community Plan Evaluation,,Categorical Exemption-Class 32
2013.1346,Exemption,,Categorical Exemption-Stamp
2013.1352,Exemption,11/13/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.1353,Exemption,,Categorical Exemption-Certificate
2013.1354,Exemption,,Categorical Exemption-Certificate
2013.1355,Exemption,12/24/2013,Categorical Exemption-Determination of Historic Resource
2013.1359,Exemption,9/25/2013,Categorical Exemption-Determination of Historic Resource
2013.1369,Exemption,2/5/2014,Categorical Exemption-Stamp
2013.1375,Exemption,,Community Plan-Determination
2013.1382,Exemption,,Community Plan-Exemption/Exclusion
2013.1383,Negative Declaration,,Community Plan-Determination
2013.1384,Exemption,,Categorical Exemption-Stamp
2013.1385,Exemption,,Categorical Exemption-Stamp
2013.1390,Community Plan Evaluation,,EIR Addendum
2013.1399,Exemption,10/1/2013,Categorical Exemption-Determination of Historic Resource
2013.1400,Exemption,10/1/2013,Categorical Exemption-Certificate
2013.1401,Exemption,10/1/2013,Project Profile (PRJ)
2013.1402,Exemption,10/1/2013,Categorical Exemption-Certificate
2013.1403,Exemption,10/1/2013,EIR Addendum
2013.1404,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.1405,Exemption,11/12/2013,Review-Exemption Prepared by Another Agency
2013.1406,Exemption,11/26/2013,Review-Exemption Prepared by Another Agency
2013.1407,Negative Declaration,,Community Plan-Determination
2013.1412,Exemption,10/4/2013,Project Profile (PRJ)
2013.1418,Exemption,11/15/2013,Categorical Exemption-Determination of Historic Resource
2013.1419,Exemption,11/15/2013,Categorical Exemption-Stamp
2013.1421,Exemption,,Categorical Exemption-Stamp
2013.1425,Exemption,10/15/2013,Categorical Exemption-Stamp
2013.1427,Exemption,10/15/2013,Community Plan-Determination
2013.1431,Exemption,,Review-Exemption Prepared by Another Agency
2013.1442,Exemption,2/10/2014,Categorical Exemption-Stamp
2013.1449,Exemption,11/12/2013,Categorical Exemption-Stamp
2013.1452,Exemption,11/13/2013,Categorical Exemption-Stamp
2013.1454,Exemption,1/27/2014,Categorical Exemption-Stamp
2013.1455,Exemption,,Categorical Exemption-Certificate
2013.1458,Community Plan Evaluation,6/1/2016,Categorical Exemption-Stamp
2013.1461,Exemption,11/1/2013,General Rule Exclusion
2013.1462,Exemption,2/20/2014,Review-Exemption Prepared by Another Agency
2013.1466,Exemption,6/24/2013,Community Plan-Determination
2013.1467,Exemption,10/10/2013,Categorical Exemption-Stamp
2013.1468,Exemption,10/10/2013,Categorical Exemption-Determination of Historic Resource Impact
2013.1479,Exemption,10/24/2013,Categorical Exemption-Stamp
2013.1483,Exemption,1/16/2014,Categorical Exemption-Stamp
2013.1488,Exemption,11/13/2013,Categorical Exemption-Stamp
2013.1489,Exemption,,Categorical Exemption-Stamp
2013.1490,Exemption,,Categorical Exemption-Stamp
2013.1507,Exemption,,Community Plan-Determination
2013.1510,Exemption,10/16/2013,Categorical Exemption-Stamp
2013.1511,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource
2013.1512,Exemption,3/13/2014,Categorical Exemption-Certificate
2013.1513,Exemption,,Categorical Exemption-Determination of Historic Resource
2013.1514,Exemption,10/16/2013,Categorical Exemption-Certificate
2013.1516,Exemption,,Categorical Exemption-Certificate
2013.1517,Exemption,,Community Plan-Determination
2013.1518,Exemption,,Review-Exemption Prepared by Another Agency
2013.1519,Exemption,,Review-Exemption Prepared by Another Agency
2013.1520,Community Plan Evaluation,4/8/2015,Categorical Exemption-Certificate
2013.1521,Exemption,2/9/2015,Categorical Exemption-Determination of Historic Resource Impact
2013.1527,Exemption,3/10/2014,Categorical Exemption-Determination of Historic Resource
2013.1528,Exemption,3/4/2014,Categorical Exemption-Determination of Historic Resource
2013.1529,0,10/21/2013,Initial Study-Negative Declaration
2013.1530,Exemption,3/10/2014,Categorical Exemption-Stamp
2013.1535,0,,Categorical Exemption-Determination of Historic Resource
2013.1536,Environmental Impact Report,,Categorical Exemption-Certificate
2013.1538,Exemption,10/22/2013,Categorical Exemption-Stamp
2013.1543,Community Plan Evaluation,,Categorical Exemption-Stamp
2013.1544,Exemption,,Categorical Exemption-Stamp
2013.1545,Community Plan Evaluation,,Categorical Exemption-Determination of Historic Resource Impact
2013.1547,Exemption,2/20/2014,Categorical Exemption-Determination of Historic Resource
2013.1549,Community Plan Evaluation,,Categorical Exemption-Certificate
2013.1550,Exemption,2/13/2014,Categorical Exemption-Stamp
